City,EGHG emissions
Qitaihe,0.074977747
Wanning,254.8359324
Sanya,0.2536428
Sanming,1935.7441
Sanmenxia,1122.010277
Shanghai,8611.678332
Shangrao,4024.455081
Dongfang,0.051358145
Dongguan,4818.271408
Dongying,578.1036808
Zhongwei,60.92341665
Zhongshan,1218.543372
Linxia,22.94872311
Linfen,1877.206585
Linyi,9230.257678
Lincang,0.124230292
Lingao,54.37192353
Dandong,0.442214483
Lishui,143.268675
Lijiang,386.4400273
Ulanqab,4005.783414
Wuhai,21.13117232
Urumqi,2200.53517
Ledong,63.47623348
Leshan,0.685299649
Jiujiang,3950.934868
Yunfu,1892.087899
Wujiaqu,27.17376346
Wuzhishan,26.87972639
Bozhou,289.8816781
Xiantao,1403.303942
Yichun,0.204985558
Ili,166.0164531
Foshan,7607.956751
Jiamusi,172.3821384
Baoting,4.305588513
Baoding,7938.858141
Baoshan,110.7056879
Xinyang,5099.877192
Danzhou,43.65174203
Kizilsu,288.7498713
Karamay,38.12293145
Lu'an,1140.912935
Liupanshui,221.4875641
Lanzhou,6419.444635
Xingan,0.102613264
Neijiang,1991.424509
Liangshan,1141.928699
Baotou,986.9532091
Beijing,22795.90197
Beitun,18.96282633
Beihai,27.16738842
Shiyan,912.8395773
Nanjing,4071.123071
Nanchong,1298.837956
Nanning,1260.66026
Nanping,1044.385469
Nanchang,2461.114541
Nantong,1066.632938
Nanyang,2603.556171
Bortala,164.0993835
Xiamen,1415.849022
Shuanghe,0.82954202
Shuangyashan,12.24049898
Kekedala,0.000220143
Taizhou,282.4212041
Hefei,5133.88325
Ji'an,4130.931079
Jilin,348.0503742
Turpan,3196.268448
Lvliang,59.11153038
Wuzhong,783.3251335
Zhoukou,1777.155034
Hulunbuir,143.2983286
Hohhot,1885.463996
Hotan,21.0374681
Xianning,3387.51747
Xianyang,8321.833055
Hami,13318.01836
Harbin,2889.214792
Tangshan,3536.639095
Shangqiu,1280.288876
Shangluo,1753.297723
Kashgar,156.238486
Jiaxing,2931.216469
Jiayuguan,1234.133318
Siping,1642.63409
Guyuan,2234.323793
Tumushuke,0.004762091
Tacheng,368.1230598
Daxing'anling,552.1064881
Datong,1153.954472
Daqing,159.2703797
Dali,744.9383289
Dalian,13.15669454
Tianshui,85.97381827
Tianjin,16773.79993
Tianmen,735.8402697
Taiyuan,709.1791084
Weihai,4.87458418
Loudi,317.7195189
Xiaogan,7211.957314
Ningde,737.4835022
Ningbo,1311.992777
Anqing,3778.527141
Ankang,878.9104847
Anyang,1269.24158
Anshun,334.9690735
Ding'an,158.7617217
Dingxi,2944.385595
Yibin,1382.226586
Yichang,2331.771153
Yichun,2313.807337
Baoji,1338.697194
Xuancheng,802.0568689
Suzhou,1821.791552
Suqian,5021.102283
Tunchang,52.34404723
Shannan,103.870989
Yueyang,6796.531763
Chongzuo,22.03675217
Bazhong,158.6559777
Bayannur,1298.164078
Bayingolin,3693.567
Changzhou,5164.189635
Changde,951.2235048
Pingliang,8887.977177
Pingdingshan,2546.457786
Guangyuan,1752.563837
Guang'an,925.5904908
Guangzhou,15278.71728
Qingyang,1825.637807
Langfang,13570.63045
Yan'an,959.3823367
Yanbian,117.3519889
Kaifeng,2392.5536
Zhangjiakou,3837.339498
Zhangjiajie,274.7410985
Zhangye,6096.264175
Xuzhou,2743.776584
Dehong,56.66432736
Dezhou,8062.629863
Deyang,2384.462941
Xinzhou,1475.333828
Huaihua,879.264718
Nujiang,3.658568204
Enshi,2272.697752
Huizhou,6799.753043
Chengdu,10693.96859
Yangzhou,6335.113156
Chengde,674.272756
Fuzhou,4941.870373
Fushun,225.9515292
Lhasa,522.0077557
Jieyang,4360.337887
Panzhihua,305.8329842
Wenshan,2.173749608
Wenchang,0.508335488
Xinxiang,2008.638238
Xinyu,1053.38857
Wuxi,5363.829208
Shigatse,18.94847452
Rizhao,285.2826858
Kunming,1808.906977
Kunyu,0
Changji,7005.711596
Changjiang,13.98596604
Changdu,3056.949869
Zhaotong,4541.603532
Jinzhong,1111.296462
Jincheng,95.2892614
Pu'er,291.1483901
Jingdezhen,742.4773223
Qujing,3036.190086
Shuozhou,551.3817711
Chaoyang,492.9708985
Benxi,93.07139676
Laibin,446.5379645
Hangzhou,4155.411032
Songyuan,1054.26257
Linzhi,2339.292753
Guoluo,1.196314608
Zaozhuang,1019.8362
Liuzhou,949.7363953
Zhuzhou,1130.61438
Guilin,2636.220082
Meizhou,1155.910148
Wuzhou,1415.110374
Chuxiong,326.7967333
Yulin,398.7751628
Wuwei,4723.436439
Wuhan,11202.95273
Bijie,1846.643297
Yongzhou,888.6941588
Hanzhong,2415.731352
Shantou,1411.326384
Shanwei,1382.553558
Jiangmen,3440.238922
Chizhou,589.0041529
Shenyang,5056.825542
Cangzhou,8538.578637
Hechi,96.88577281
Heyuan,6263.734637
Quanzhou,2551.35767
Tai'an,3212.397438
Taizhou,969.5803052
Luzhou,4088.773223
Luoyang,857.9462817
Jinan,9379.51086
Jining,1256.499178
Jiyuan,39.60979189
Haidong,528.832301
Haibei,10.23326662
Hainan,266.3221098
Haikou,721.1999894
Haixi,760.1449441
Zibo,2629.913437
Huaibei,617.032553
Huainan,562.0865778
Huai'an,4274.273979
Shenzhen,268.2564234
Qingyuan,7142.531615
Wenzhou,768.299017
Weinan,3205.864671
Huzhou,1833.582843
Xiangtan,2368.226532
Xiangxi,589.4950979
Zhanjiang,3115.795633
Chuzhou,2832.797305
Binzhou,4187.927775
Luohe,2135.223482
Zhangzhou,5972.619587
Weifang,3016.838403
Qianjiang,492.3346361
Chaozhou,2718.746792
Chengmai,110.1262544
Puyang,1744.461891
Yantai,436.1107572
Jiaozuo,268.0240373
Mudanjiang,163.305871
Yulin,1699.736954
Yushu,226.8736232
Yuxi,412.1795532
Zhuhai,6.116505076
Qiongzhong,63.84013043
Qionghai,180.1454363
Gannan,46.81092493
Ganzi,3232.139165
Baicheng,431.1351202
Baishan,0.122054595
Baisha,11.31248153
Baiyin,1823.075064
Baise,629.7261808
Yiyang,305.357654
Yancheng,1420.723039
Panjin,1534.838386
Meishan,2132.861362
Shizuishan,12.49000504
Shijiazhuang,954.437616
Shihezi,27.44940551
Shennongjia,0.002102532
Fuzhou,1447.613664
Qinhuangdao,2153.222965
Honghe,193.1149841
Shaoxing,2484.392654
Suihua,628.6181019
Mianyang,1638.440928
Liaocheng,1814.823703
Zhaoqing,4085.417448
Huyanghe,0.001242111
Zigong,1247.967705
Zhoushan,0.192839128
Wuhu,839.0999899
Suzhou,11784.22925
Maoming,3040.892248
Jingzhou,2849.627793
Jingmen,2666.144081
Putian,638.9561678
Heze,663.2469331
