City,Net GHG Transfer
Qitaihe,229.6148544
Wanning,206.5320063
Sanya,3108.825314
Sanming,261.4918519
Sanmenxia,303.7955988
Shanghai,6551.260573
Shangrao,249.1610089
Dongfang,327.8050094
Dongguan,-2181.791997
Dongying,177.4100087
Zhongwei,329.3152541
Zhongshan,-8.673376874
Linxia,125.7312435
Linfen,1213.213038
Linyi,-1221.2394
Lincang,539.496116
Lingao,137.4543303
Dandong,268.7001478
Lishui,90.14370665
Lijiang,136.9689098
Ulanqab,-2681.113722
Wuhai,885.6210563
Urumqi,957.0958441
Ledong,425.2437289
Leshan,447.7767181
Jiujiang,-1471.800508
Yunfu,-1367.70634
Wujiaqu,139.9018973
Wuzhishan,105.5637961
Bozhou,1206.740808
Xiantao,-400.7432698
Yichun,281.0677058
Ili,1129.707905
Foshan,-5408.040672
Jiamusi,618.1384649
Baoting,171.5088369
Baoding,-3174.131762
Baoshan,577.0260392
Xinyang,-2308.000471
Danzhou,704.7566743
Kizilsu,631.6460302
Karamay,564.3367359
Lu'an,275.5408492
Liupanshui,361.4104806
Lanzhou,2494.595118
Xingan,544.3259727
Neijiang,-875.521913
Liangshan,-741.540289
Baotou,2511.3552
Beijing,3075.390208
Beitun,70.70099076
Beihai,1285.021076
Shiyan,417.0672332
Nanjing,1189.867272
Nanchong,-80.39633167
Nanning,2566.907999
Nanping,1118.589371
Nanchang,216.79667
Nantong,2140.589939
Nanyang,877.9251604
Bortala,245.4366392
Xiamen,7715.745496
Shuanghe,-0.778934716
Shuangyashan,358.7408626
Kekedala,-0.000220143
Taizhou,658.7287512
Hefei,491.7863707
Ji'an,-772.9457436
Jilin,289.1431109
Turpan,-864.1172744
Lvliang,575.9247005
Wuzhong,-251.5765181
Zhoukou,578.5218817
Hulunbuir,398.4981289
Hohhot,3467.920566
Hotan,479.9791722
Xianning,-2000.248099
Xianyang,-3199.725261
Hami,144.5527762
Harbin,3968.097239
Tangshan,-673.1043041
Shangqiu,1103.473978
Shangluo,-415.6454832
Kashgar,641.4179134
Jiaxing,-734.433541
Jiayuguan,143.6754533
Siping,-987.7469602
Guyuan,-667.8716778
Tumushuke,194.0393245
Tacheng,54.6720237
Daxing'anling,-14.51780036
Datong,-466.4065262
Daqing,1065.509846
Dali,944.2650062
Dalian,1551.476736
Tianshui,-2.162273174
Tianjin,-4428.894042
Tianmen,162.4989251
Taiyuan,2498.339933
Weihai,2103.330706
Loudi,433.160919
Xiaogan,-5658.164494
Ningde,1162.411938
Ningbo,497.5015512
Anqing,-576.3183193
Ankang,-25.773551
Anyang,1605.974288
Anshun,407.233508
Ding'an,-22.10118363
Dingxi,-672.966603
Yibin,-564.8199274
Yichang,321.9600647
Yichun,-468.6082029
Baoji,-89.18278161
Xuancheng,57.21910589
Suzhou,177.5745021
Suqian,-1370.743743
Tunchang,52.57170356
Shannan,36.21880157
Yueyang,-2899.216534
Chongzuo,427.6779
Bazhong,498.9184429
Bayannur,768.9259753
Bayingolin,1033.663745
Changzhou,-1583.625253
Changde,374.3197502
Pingliang,-2857.913978
Pingdingshan,-451.5376483
Guangyuan,-70.28932609
Guang'an,305.0942781
Guangzhou,-10128.39727
Qingyang,-1568.000358
Langfang,-7499.295656
Yan'an,-607.4068668
Yanbian,212.4952122
Kaifeng,929.1400289
Zhangjiakou,-1992.085356
Zhangjiajie,158.1386796
Zhangye,-25.06192396
Xuzhou,1883.592716
Dehong,636.1619836
Dezhou,-5568.877547
Deyang,-1174.111021
Xinzhou,-636.4937768
Huaihua,466.4007429
Nujiang,117.3194351
Enshi,139.7167237
Huizhou,-4056.972206
Chengdu,-7462.420395
Yangzhou,-2342.161559
Chengde,1016.751328
Fuzhou,-61.85074137
Fushun,-61.21704725
Lhasa,306.8102695
Jieyang,-3393.554767
Panzhihua,676.7547349
Wenshan,504.1578968
Wenchang,454.6433693
Xinxiang,983.5351009
Xinyu,-428.7803124
Wuxi,-1691.023378
Shigatse,56.58549514
Rizhao,1029.883704
Kunming,5970.232914
Kunyu,65.30991953
Changji,901.2908065
Changjiang,205.2996618
Changdu,-115.2297151
Zhaotong,-3723.363686
Jinzhong,-65.31638604
Jincheng,647.1507157
Pu'er,225.9224617
Jingdezhen,139.585918
Qujing,-1267.610333
Shuozhou,427.547615
Chaoyang,479.5774195
Benxi,27.30794013
Laibin,140.6176863
Hangzhou,-150.4424459
Songyuan,-523.0581808
Linzhi,-13.97735714
Guoluo,11.37937988
Zaozhuang,383.1767825
Liuzhou,892.7705911
Zhuzhou,474.1762156
Guilin,670.7183224
Meizhou,-237.0565108
Wuzhou,-599.3519906
Chuxiong,439.5660101
Yulin,1305.111408
Wuwei,30.35935141
Wuhan,-6603.428337
Bijie,-531.3251908
Yongzhou,1031.969318
Hanzhong,-126.0138984
Shantou,-110.3443913
Shanwei,-610.7936437
Jiangmen,-2448.234052
Chizhou,12.71421304
Shenyang,-2251.932731
Cangzhou,-1847.351778
Hechi,627.2203184
Heyuan,-2758.964791
Quanzhou,5587.030649
Tai'an,-777.0974745
Taizhou,-308.2308756
Luzhou,-1828.985261
Luoyang,2432.029693
Jinan,-2618.718475
Jining,728.0980243
Jiyuan,297.3373511
Haidong,-301.3254361
Haibei,-93.82829309
Hainan,12.3311006
Haikou,3265.014264
Haixi,277.6488661
Zibo,-368.0617516
Huaibei,311.8758773
Huainan,96.3471424
Huai'an,-639.1539938
Shenzhen,5411.431127
Qingyuan,-980.14485
Wenzhou,569.4558934
Weinan,-476.6938735
Huzhou,-419.1221911
Xiangtan,-356.8065099
Xiangxi,278.1759996
Zhanjiang,-849.3286607
Chuzhou,-1161.665563
Binzhou,-1943.853382
Luohe,-1690.867831
Zhangzhou,-3184.209941
Weifang,-1096.801005
Qianjiang,-192.620584
Chaozhou,-1839.101589
Chengmai,425.9566802
Puyang,1278.254893
Yantai,2423.216387
Jiaozuo,1026.917716
Mudanjiang,482.0141958
Yulin,-916.8147803
Yushu,-168.5228551
Yuxi,549.4797197
Zhuhai,1382.391514
Qiongzhong,33.03802779
Qionghai,338.3474262
Gannan,-34.81412859
Ganzi,-167.8336015
Baicheng,-91.06238661
Baishan,201.2492463
Baisha,69.1958738
Baiyin,-62.50461007
Baise,544.7250352
Yiyang,301.7838621
Yancheng,1273.286028
Panjin,-370.3016733
Meishan,-1681.421407
Shizuishan,368.8441069
Shijiazhuang,2022.951567
Shihezi,488.7627156
Shennongjia,30.79902163
Fuzhou,4352.64446
Qinhuangdao,337.4970268
Honghe,1190.026721
Shaoxing,-761.7210925
Suihua,457.5161887
Mianyang,181.6177035
Liaocheng,-781.1720884
Zhaoqing,-2131.799826
Huyanghe,47.93550207
Zigong,-691.260958
Zhoushan,260.0671014
Wuhu,185.859818
Suzhou,-6385.303212
Maoming,-1614.716157
Jingzhou,101.4337729
Jingmen,116.029489
Putian,1091.672925
Heze,1173.724464
Pingxiang,291.0623874
Yingkou,-76.32685545
Huludao,-815.683199
Bengbu,63.45689175
Hengshui,-41.51643222
Hengyang,-223.0939357
Quzhou,-553.1842126
Xiangyang,10.99956352
Xishuangbanna,1103.031223
Xining,1818.723233
Xi'an,-834.450569
Xuchang,-525.4552638
Guigang,237.6616769
Guiyang,2774.703446
Hezhou,-222.3939021
Ziyang,-1745.195344
Ganzhou,2829.178599
Chifeng,545.0138404
Liaoyuan,119.3689755
Liaoyang,-339.9203477
Dazhou,511.7090254
Yuncheng,247.3407772
Lianyungang,1331.922545
Diqing,165.8521911
Tonghua,196.8909962
Tongliao,105.2255035
Suining,-229.8169533
Zunyi,810.7383018
Xingtai,-668.4527604
Naqu,-30.64180611
Handan,687.1800008
Shaoyang,1400.55171
Zhengzhou,8195.408053
Chenzhou,576.3355367
Ordos,2200.830573
Ezhou,-781.958237
Jiuquan,-196.2484981
Chongqing,4054.490555
Jinhua,-559.1461401
Jinchang,125.1245503
Qinzhou,258.0598604
Tieling,-3067.210308
Tiemenguan,63.57919684
Tongren,534.1389651
Tongchuan,-72.4466144
