City,OGHG emissions
Qitaihe,309.9741541
Wanning,494.2500406
Sanya,3805.422679
Sanming,1302.999704
Sanmenxia,807.0462557
Shanghai,28764.78311
Shangrao,1647.935162
Dongfang,387.7832661
Dongguan,3583.597287
Dongying,1345.555815
Zhongwei,356.924513
Zhongshan,1972.297594
Linxia,263.6546278
Linfen,1406.87248
Linyi,2800.892819
Lincang,680.9946624
Lingao,192.3847714
Dandong,429.7297775
Lishui,395.7427119
Lijiang,571.7647336
Ulanqab,710.4143042
Wuhai,911.5401078
Urumqi,2013.80721
Ledong,620.0175787
Leshan,982.339389
Jiujiang,1273.791623
Yunfu,933.3186417
Wujiaqu,188.5021266
Wuzhishan,153.4986109
Bozhou,1768.790015
Xiantao,293.7313713
Yichun,371.5973816
Ili,1833.933629
Foshan,2520.860841
Jiamusi,827.6715482
Baoting,218.5403748
Baoding,4570.487498
Baoshan,789.8423412
Xinyang,2091.5154
Danzhou,793.7381647
Kizilsu,670.3725516
Karamay,764.0598513
Lu'an,1302.403977
Liupanshui,620.0021363
Lanzhou,3501.702776
Xingan,574.7247657
Neijiang,886.1278311
Liangshan,381.8345778
Baotou,2790.775398
Beijing,48782.73063
Beitun,122.1945892
Beihai,1323.247385
Shiyan,1234.353573
Nanjing,8320.407143
Nanchong,1391.749326
Nanning,3094.368911
Nanping,1922.094029
Nanchang,3131.847638
Nantong,4906.020912
Nanyang,2616.730731
Bortala,393.5893856
Xiamen,8019.871765
Shuanghe,0
Shuangyashan,461.7400849
Kekedala,0
Taizhou,1753.029818
Hefei,4886.173379
Ji'an,1528.151801
Jilin,1227.517374
Turpan,400.7006949
Lvliang,999.1976169
Wuzhong,420.1156774
Zhoukou,2034.535416
Hulunbuir,508.5616569
Hohhot,4409.454291
Hotan,506.1807673
Xianning,496.9614811
Xianyang,795.1551838
Hami,1298.415895
Harbin,4880.267955
Tangshan,2113.761801
Shangqiu,2153.791933
Shangluo,252.1112954
Kashgar,689.6645598
Jiaxing,1462.948758
Jiayuguan,227.1721136
Siping,453.749954
Guyuan,193.6208708
Tumushuke,233.0023452
Tacheng,485.4634053
Daxing'anling,172.5943679
Datong,1127.767258
Daqing,1459.062543
Dali,1810.74255
Dalian,2680.614583
Tianshui,606.4305636
Tianjin,17236.19252
Tianmen,448.106387
Taiyuan,4482.686619
Weihai,2321.605452
Loudi,1214.795484
Xiaogan,776.7378557
Ningde,1729.95498
Ningbo,2388.295877
Anqing,1201.606186
Ankang,626.263137
Anyang,1979.391901
Anshun,622.4770195
Ding'an,129.1346594
Dingxi,433.8475958
Yibin,1738.101386
Yichang,1593.531051
Yichun,1338.679129
Baoji,1010.721809
Xuancheng,820.5531004
Suzhou,1656.201237
Suqian,2389.197706
Tunchang,106.8212172
Shannan,82.83996861
Yueyang,920.0104354
Chongzuo,435.5169338
Bazhong,1124.881276
Bayannur,1103.282779
Bayingolin,2898.631458
Changzhou,2900.724097
Changde,1332.952589
Pingliang,328.5828833
Pingdingshan,1218.403442
Guangyuan,810.8105193
Guang'an,844.6852722
Guangzhou,3102.976925
Qingyang,293.7732701
Langfang,3498.835679
Yan'an,390.9684139
Yanbian,669.054175
Kaifeng,1547.329961
Zhangjiakou,1881.249562
Zhangjiajie,528.9492214
Zhangye,549.2414064
Xuzhou,4609.93793
Dehong,707.350446
Dezhou,606.1677012
Deyang,435.9054331
Xinzhou,1047.331809
Huaihua,1463.030632
Nujiang,153.2155631
Enshi,1402.852323
Huizhou,2478.115455
Chengdu,1990.725065
Yangzhou,1530.213463
Chengde,2254.419891
Fuzhou,1157.916853
Fushun,243.3897051
Lhasa,424.9731384
Jieyang,1628.029704
Panzhihua,852.0961787
Wenshan,464.1737734
Wenchang,435.8181878
Xinxiang,1900.130975
Xinyu,367.8450672
Wuxi,3409.224291
Shigatse,121.4253386
Rizhao,1897.239283
Kunming,6623.781812
Kunyu,60.96199146
Changji,1348.24972
Changjiang,262.1399366
Changdu,41.60535805
Zhaotong,899.2910719
Jinzhong,1286.865774
Jincheng,769.8868275
Pu'er,571.6704551
Jingdezhen,787.6694547
Qujing,1348.646503
Shuozhou,1146.762824
Chaoyang,787.0795543
Benxi,185.5033034
Laibin,555.9926366
Hangzhou,3701.59681
Songyuan,556.6534818
Linzhi,147.7140173
Guoluo,31.99102141
Zaozhuang,1387.438663
Liuzhou,1728.638257
Zhuzhou,1674.742623
Guilin,1834.875756
Meizhou,1787.580514
Wuzhou,1403.81301
Chuxiong,822.3314888
Yulin,1355.851711
Wuwei,467.413466
Wuhan,2439.901565
Bijie,818.827603
Yongzhou,1779.285217
Hanzhong,693.4868552
Shantou,2613.253112
Shanwei,1516.377166
Jiangmen,1829.23452
Chizhou,533.2422211
Shenyang,1075.500461
Cangzhou,2632.531342
Hechi,817.3526128
Heyuan,1458.578514
Quanzhou,6721.956699
Tai'an,1645.098374
Taizhou,1139.265916
Luzhou,1733.152921
Luoyang,2811.72701
Jinan,4206.581716
Jining,2074.808653
Jiyuan,349.4900889
Haidong,336.640766
Haibei,63.66335612
Hainan,118.4374733
Haikou,3529.25777
Haixi,532.5631919
Zibo,1833.862267
Huaibei,939.9210428
Huainan,1020.318679
Huai'an,2187.803605
Shenzhen,10874.99119
Qingyuan,1341.949949
Wenzhou,1501.151466
Weinan,506.3556077
Huzhou,737.8026967
Xiangtan,875.667042
Xiangxi,975.3603506
Zhanjiang,4530.438975
Chuzhou,1306.691503
Binzhou,1045.715733
Luohe,585.4037495
Zhangzhou,2370.693216
Weifang,2877.984932
Qianjiang,239.6338644
Chaozhou,1568.738202
Chengmai,512.6235393
Puyang,1655.533332
Yantai,4477.959975
Jiaozuo,1221.728786
Mudanjiang,744.4914136
Yulin,1436.934726
Yushu,0
Yuxi,905.2818081
Zhuhai,2963.899377
Qiongzhong,108.4864447
Qionghai,520.8385362
Gannan,173.7459584
Ganzi,205.6088077
Baicheng,525.7765642
Baishan,407.8418939
Baisha,94.03076681
Baiyin,496.5664544
Baise,660.6814193
Yiyang,909.6748137
Yancheng,3019.589367
Panjin,529.6476249
Meishan,786.7121748
Shizuishan,353.8376314
Shijiazhuang,5433.815931
Shihezi,566.4495362
Shennongjia,55.79894025
Fuzhou,5083.926188
Qinhuangdao,2329.674047
Honghe,1665.372162
Shaoxing,1153.706388
Suihua,943.600563
Mianyang,1534.420079
Liaocheng,1109.335206
Zhaoqing,1567.726798
Huyanghe,49.10762466
Zigong,1116.938166
Zhoushan,508.2894113
Wuhu,1420.932905
Suzhou,4551.193972
Maoming,2790.795994
Jingzhou,1247.900197
Jingmen,780.9695554
Putian,1749.017421
Heze,2126.975099
Pingxiang,648.7130162
Yingkou,647.3017712
Huludao,667.8614213
Bengbu,1062.945444
Hengshui,1010.383026
Hengyang,1729.378241
Quzhou,396.8326905
Xiangyang,1481.569707
Xishuangbanna,1101.371213
Xining,1835.293887
Xi'an,1653.65307
Xuchang,1530.162978
Guigang,1184.730547
Guiyang,3642.765418
Hezhou,1055.684488
Ziyang,583.5778599
Ganzhou,4132.638685
Chifeng,1176.51738
Liaoyuan,248.564031
Liaoyang,165.5952141
Dazhou,1984.389522
Yuncheng,526.3408343
Lianyungang,2598.401184
Diqing,159.9584803
