City,OGHG emissions
Qitaihe,207.7455457
Wanning,402.7056783
Sanya,2770.068274
Sanming,1016.11248
Sanmenxia,636.0675239
Shanghai,14340.93183
Shangrao,1129.608623
Dongfang,290.751432
Dongguan,1997.765924
Dongying,637.950778
Zhongwei,296.5819978
Zhongshan,979.1389763
Linxia,221.444705
Linfen,1162.100166
Linyi,1668.175381
Lincang,483.0081694
Lingao,166.2903979
Dandong,258.6738668
Lishui,201.0259526
Lijiang,444.6051338
Ulanqab,362.3947996
Wuhai,780.6254915
Urumqi,1897.97002
Ledong,437.279412
Leshan,480.6508016
Jiujiang,692.5487211
Yunfu,434.4896353
Wujiaqu,164.5751995
Wuzhishan,116.997986
Bozhou,1161.842961
Xiantao,162.5380587
Yichun,263.3224867
Ili,1269.45101
Foshan,1367.576516
Jiamusi,621.9792921
Baoting,156.9447699
Baoding,2174.573803
Baoshan,604.3613003
Xinyang,1104.70346
Danzhou,654.9496979
Kizilsu,660.0813317
Karamay,597.1512139
Lu'an,647.8725806
Liupanshui,455.7764946
Lanzhou,3419.338583
Xingan,487.2565136
Neijiang,430.3398481
Liangshan,297.9919355
Baotou,2502.352139
Beijing,23669.72596
Beitun,88.1192519
Beihai,1120.582546
Shiyan,768.4610737
Nanjing,4333.608663
Nanchong,715.5353146
Nanning,2956.024136
Nanping,1367.468337
Nanchang,1721.628436
Nantong,2359.690839
Nanyang,1335.71099
Bortala,373.4439185
Xiamen,7706.128234
Shuanghe,0
Shuangyashan,331.3843164
Kekedala,0
Taizhou,860.1616969
Hefei,2626.892209
Ji'an,842.8866804
Jilin,614.1080154
Turpan,275.552037
Lvliang,597.6960404
Wuzhong,374.5955821
Zhoukou,1068.781905
Hulunbuir,462.9462376
Hohhot,4092.822346
Hotan,501.5475459
Xianning,291.9389093
Xianyang,491.5221838
Hami,1271.220002
Harbin,4773.929224
Tangshan,1020.428273
Shangqiu,1751.233058
Shangluo,141.6165418
Kashgar,671.6901236
Jiaxing,974.1549123
Jiayuguan,223.5336379
Siping,226.5647959
Guyuan,95.76699334
Tumushuke,193.4622111
Tacheng,402.6389208
Daxing'anling,171.7209105
Datong,527.1293946
Daqing,1089.041321
Dali,1456.515884
Dalian,1494.575231
Tianshui,306.4577399
Tianjin,8075.944906
Tianmen,234.8546154
Taiyuan,2872.894922
Weihai,1850.761708
Loudi,606.6446064
Xiaogan,455.6918771
Ningde,1382.364441
Ningbo,1357.611091
Anqing,633.1492328
Ankang,319.621465
Anyang,1680.356811
Anshun,514.0897543
Ding'an,117.0712953
Dingxi,393.336708
Yibin,822.6740962
Yichang,856.2106493
Yichun,708.0016637
Baoji,510.6723063
Xuancheng,397.509522
Suzhou,922.7916708
Suqian,1410.548527
Tunchang,91.04535755
Shannan,55.0084357
Yueyang,520.2154739
Chongzuo,389.1942787
Bazhong,527.3258465
Bayannur,982.1161084
Bayingolin,1787.485785
Changzhou,1486.106427
Changde,698.0858697
Pingliang,164.1256035
Pingdingshan,685.4574372
Guangyuan,385.1496909
Guang'an,418.9322547
Guangzhou,1986.189215
Qingyang,155.503697
Langfang,1687.861929
Yan'an,206.2395297
Yanbian,322.6380308
Kaifeng,1332.688249
Zhangjiakou,879.3666518
Zhangjiajie,260.4777312
Zhangye,503.9128252
Xuzhou,3018.899923
Dehong,600.262136
Dezhou,349.1269946
Deyang,274.0543988
Xinzhou,605.3115222
Huaihua,710.9134948
Nujiang,108.3082409
Enshi,691.0228496
Huizhou,1263.439388
Chengdu,1350.013707
Yangzhou,793.3790477
Chengde,1038.82175
Fuzhou,594.9504042
Fushun,159.9043489
Lhasa,392.6545827
Jieyang,785.6544692
Panzhihua,829.3958471
Wenshan,438.4333492
Wenchang,393.0630561
Xinxiang,1688.034811
Xinyu,196.865559
Wuxi,1796.853737
Shigatse,74.68590256
Rizhao,1073.12936
Kunming,6476.118006
Kunyu,60.46582256
Changji,1123.526915
Changjiang,194.5762436
Changdu,34.85379503
Zhaotong,624.1030411
Jinzhong,806.1054721
Jincheng,610.139377
Pu'er,449.3436871
Jingdezhen,390.3920006
Qujing,1123.598038
Shuozhou,787.4382115
Chaoyang,491.8029028
