City,EGHG emissions
Liaocheng,1291.477352
Zhaoqing,2620.43945
Huyanghe,0.001255238
Zigong,1068.538173
Zhoushan,0.155413254
Wuhu,519.3361143
Suzhou,10018.38162
Maoming,2612.698151
Jingzhou,625.1403208
Jingmen,307.1160919
Putian,481.6748276
Heze,236.0838628
Pingxiang,45.94047364
Yingkou,423.9847795
Huludao,1008.977861
Bengbu,436.0367538
Hengshui,550.8099323
Hengyang,1564.273226
Quzhou,659.3277199
Xiangyang,746.6783004
Xishuangbanna,119.6419229
Xining,168.3912398
Xi'an,2213.053333
Xuchang,1731.178693
Guigang,514.0671176
Guiyang,963.3424018
Hezhou,634.6047833
Ziyang,1979.719949
Ganzhou,1198.977927
Chifeng,69.30709976
Liaoyuan,6.546996973
Liaoyang,455.9547289
Dazhou,394.3838608
Yuncheng,66.47990338
Lianyungang,126.3322171
Diqing,15.04955254
Tonghua,75.04656459
Tongliao,220.3314834
Suining,610.7574622
Zunyi,490.4332798
Xingtai,1650.075351
Naqu,30.64430959
Handan,750.909137
Shaoyang,174.2730084
Zhengzhou,2657.317125
Chenzhou,577.177523
Ordos,175.4517307
Ezhou,902.8422294
Jiuquan,1025.417115
Chongqing,8209.296687
Jinhua,1020.487474
Jinchang,145.897811
Qinzhou,465.787569
Tieling,2894.437929
Tiemenguan,3.866756842
Tongren,164.3497633
Tongchuan,123.9112336
Tongling,133.1383873
Yinchuan,219.2820857
Xilin Gol,41.98516444
Jinzhou,626.1418629
Zhenjiang,3679.760826
Changchun,3373.666155
Changsha,1877.16762
Changzhi,275.9985168
Fuxin,298.0382109
Fuyang,468.5047485
Fangchenggang,0.26478041
Yangjiang,2162.215487
Yangquan,18.8279205
Aksu,303.0628395
Altai,0.024631661
Aba,35.93355489
Alxa,145.0492482
Alaer,61.19541212
Ali,2.025492623
Longnan,301.9591683
Lingshui,168.8742224
Suizhou,1256.737423
Ya'an,989.2790973
Qingdao,2240.533315
Anshan,631.3842842
Shaoguan,437.1612399
Ma'anshan,1281.353845
Zhumadian,5779.026112
Jixi,14.0625061
Hebi,549.4909973
Hegang,0.023451105
Yingtan,101.3389282
Huanggang,1571.204385
Huangnan,1.062677881
Huangshan,18.53802675
Huangshi,1759.175827
Heihe,75.2052058
Qiandongnan,535.537248
Qiannan,760.4609624
Qianxinan,73.7336993
Qiqihar,402.5060586
Longyan,630.7147208
