City,Net GHG Transfer
Qitaihe,363.6652446
Wanning,-104.5545879
Sanya,4467.300727
Sanming,306.2055464
Sanmenxia,462.5050107
Shanghai,12014.14294
Shangrao,767.7585544
Dongfang,455.0734871
Dongguan,-6283.57878
Dongying,1104.410611
Zhongwei,397.7894629
Zhongshan,-348.0483536
Linxia,149.6349027
Linfen,1527.43109
Linyi,-3.279294785
Lincang,799.2075784
Lingao,79.84949785
Dandong,492.8944271
Lishui,337.1885428
Lijiang,301.8797699
Ulanqab,-2249.257869
Wuhai,1040.704946
Urumqi,87.68763645
Ledong,557.6689497
Leshan,1105.658317
Jiujiang,-2232.223193
Yunfu,-1034.218128
Wujiaqu,126.9084221
Wuzhishan,107.9589133
Bozhou,1969.4973
Xiantao,-1034.261016
Yichun,422.922954
Ili,1659.434267
Foshan,-11620.28542
Jiamusi,796.4382309
Baoting,245.0516266
Baoding,-3662.819242
Baoshan,746.2435228
Xinyang,-1421.394311
Danzhou,813.1441947
Kizilsu,639.2022622
Karamay,721.1491916
Lu'an,1060.91348
Liupanshui,576.6140592
Lanzhou,2286.451946
Xingan,659.1234742
Neijiang,-845.9886174
Liangshan,-642.4209118
Baotou,2776.748736
Beijing,2950.919187
Beitun,84.90813714
Beihai,1550.631448
Shiyan,1021.19259
Nanjing,2274.219156
Nanchong,-318.4701755
Nanning,1898.625271
Nanping,1842.764553
Nanchang,596.8356701
Nantong,5237.825183
Nanyang,2505.871977
Bortala,161.7918313
Xiamen,7329.961187
Shuanghe,-2.105228962
Shuangyashan,509.4821343
Kekedala,-0.000594981
Taizhou,1687.309262
Hefei,1619.404624
Ji'an,-208.0824216
Jilin,873.4500552
Turpan,-1268.764698
Lvliang,1006.383779
Wuzhong,-244.0544785
Zhoukou,1791.641717
Hulunbuir,448.1516696
Hohhot,3501.861668
Hotan,486.051218
Xianning,-3757.013363
Xianyang,-3832.967475
Hami,156.1060052
Harbin,2737.21536
Tangshan,-492.7111391
Shangqiu,1527.346688
Shangluo,-416.0877142
Kashgar,649.3766262
Jiaxing,-2414.557903
Jiayuguan,136.5116268
Siping,-1250.100793
Guyuan,-539.5722286
Tumushuke,245.9282704
Tacheng,-292.6762907
Daxing'anling,-25.99338653
Datong,94.94911291
Daqing,1425.999344
Dali,737.3226436
Dalian,3102.937015
Tianshui,246.9584369
Tianjin,-9212.58301
Tianmen,417.5425604
Taiyuan,3883.5994
Weihai,2716.272387
Loudi,963.2333922
Xiaogan,-6899.965133
Ningde,1600.535093
Ningbo,399.6504105
Anqing,136.7692159
Ankang,264.3345525
Anyang,1903.619257
Anshun,358.0463906
Ding'an,-274.7903664
Dingxi,-692.9325558
Yibin,620.4132488
Yichang,912.2560283
Yichun,-270.788366
Baoji,272.382099
Xuancheng,575.3817856
Suzhou,927.1284699
Suqian,-2649.000587
Tunchang,-15.28905667
Shannan,48.1557419
Yueyang,-6282.28408
Chongzuo,451.1907844
Bazhong,1282.768444
Bayannur,789.2841452
Bayingolin,1872.644447
Changzhou,-2489.154427
Changde,761.92911
Pingliang,-2848.633838
Pingdingshan,-4.645088444
Guangyuan,476.3606576
Guang'an,853.1630172
Guangzhou,-21321.12644
Qingyang,-1388.058447
Langfang,-16678.40082
Yan'an,-471.4353258
Yanbian,666.6670356
Kaifeng,806.3728562
Zhangjiakou,-896.7716494
Zhangjiajie,414.152639
Zhangye,34.42696545
Xuzhou,3306.491725
Dehong,766.0944986
Dezhou,-12675.7523
Deyang,-3013.49895
Xinzhou,-156.761675
Huaihua,1411.432457
Nujiang,170.0854569
Enshi,863.7974133
Huizhou,-4857.106038
Chengdu,-15736.84729
Yangzhou,-2934.228038
Chengde,2588.518314
Fuzhou,580.059305
Fushun,-329.3635651
Lhasa,236.3463432
Jieyang,-3466.051205
Panzhihua,693.6021835
Wenshan,534.4802734
Wenchang,510.3004877
Xinxiang,909.556558
Xinyu,-663.5274702
Wuxi,-2900.73895
Shigatse,86.85616569
Rizhao,2073.424221
Kunming,5223.775563
Kunyu,65.96114121
Changji,1102.337412
Changjiang,270.3527005
Changdu,-106.7172656
Zhaotong,-3366.655443
Jinzhong,-804.2614663
Jincheng,850.0040967
