City,OGHG emissions
Qitaihe,363.8634567
Wanning,579.9513672
Sanya,4467.979539
Sanming,1530.492865
Sanmenxia,948.1457633
Shanghai,33676.42228
Shangrao,1937.437887
Dongfang,455.209727
Dongguan,4131.806563
Dongying,1580.786518
Zhongwei,418.7818412
Zhongshan,2301.198054
Linxia,309.0454139
Linfen,1650.891863
Linyi,3289.599623
Lincang,799.4685555
Lingao,225.6491132
Dandong,495.134761
Lishui,464.3532664
Lijiang,670.8731012
Ulanqab,833.753457
Wuhai,1071.240712
Urumqi,2089.950563
Ledong,728.1748441
Leshan,1141.022388
Jiujiang,1497.229462
Yunfu,1093.395655
Wujiaqu,197.3875449
Wuzhishan,180.2001177
Bozhou,2080.03112
Xiantao,344.8066265
Yichun,435.4802147
Ili,2028.673304
Foshan,2920.642313
Jiamusi,970.9547635
Baoting,256.6412167
Baoding,5359.76031
Baoshan,927.0501689
Xinyang,2457.895358
Danzhou,930.2434427
Kizilsu,674.3195146
Karamay,819.9801961
Lu'an,1531.198244
Liupanshui,727.7553786
Lanzhou,4104.401038
Xingan,663.3580338
Neijiang,1030.20385
Liangshan,437.1942026
Baotou,3278.49159
Beijing,56939.88408
Beitun,133.3641586
Beihai,1553.878597
Shiyan,1450.815348
Nanjing,9776.661706
Nanchong,1616.176354
Nanning,3625.480026
Nanping,2258.89635
Nanchang,3680.615356
Nantong,5762.690167
Nanyang,3075.61684
Bortala,428.5738156
Xiamen,9421.791357
Shuanghe,0
Shuangyashan,541.8012076
Kekedala,0
Taizhou,2054.385764
Hefei,5741.495859
Ji'an,1796.644378
Jilin,1435.617221
Turpan,441.6601899
Lvliang,1172.372192
Wuzhong,492.52126
Zhoukou,2389.957266
Hulunbuir,592.6750422
Hohhot,5161.562339
Hotan,528.6626352
Xianning,583.1969756
Xianyang,922.2369064
Hami,1467.093476
Harbin,5708.015819
Tangshan,2477.257838
Shangqiu,2530.223836
Shangluo,294.0249336
Kashgar,699.6741439
Jiaxing,1706.393299
Jiayuguan,258.9155555
Siping,530.6716662
Guyuan,226.8513486
Tumushuke,245.9401646
Tacheng,514.5418726
Daxing'anling,191.2766205
Datong,1322.99734
Daqing,1708.951331
Dali,2125.155939
Dalian,3133.270826
Tianshui,710.6841894
Tianjin,20214.48065
Tianmen,526.7420323
Taiyuan,5264.906386
Weihai,2726.500289
Loudi,1427.831554
Xiaogan,911.4931272
Ningde,2033.122353
Ningbo,2784.205491
Anqing,1411.846209
Ankang,733.3436342
Anyang,2326.604829
Anshun,730.2603889
Ding'an,151.4357192
Dingxi,508.2123299
Yibin,2027.296774
Yichang,1872.946614
Yichun,1573.55749
Baoji,1183.566107
Xuancheng,964.6237676
Suzhou,1947.362183
Suqian,2807.78446
Tunchang,125.2928172
Shannan,91.68936903
Yueyang,1080.476486
Chongzuo,510.3764369
Bazhong,1313.151833
Bayannur,1263.550676
Bayingolin,3252.866318
Changzhou,3407.986137
Changde,1566.485929
Pingliang,384.9386199
Pingdingshan,1431.375272
Guangyuan,945.0216874
Guang'an,983.820321
Guangzhou,3556.937361
Qingyang,343.7678884
Langfang,4093.639054
Yan'an,457.0907148
Yanbian,783.4955016
Kaifeng,1818.421994
Zhangjiakou,2206.772211
Zhangjiajie,621.8890581
Zhangye,644.5950186
Xuzhou,5418.983426
Dehong,830.8922849
Dezhou,709.2742624
Deyang,489.1902558
Xinzhou,1228.57799
Huaihua,1720.018783
Nujiang,179.8871421
Enshi,1649.543133
Huizhou,2878.563419
Chengdu,2229.451573
Yangzhou,1797.666847
Chengde,2647.189979
Fuzhou,1361.297217
Fushun,283.0318041
Lhasa,436.6692654
Jieyang,1908.667895
Panzhihua,998.3544476
Wenshan,544.1331872
Wenchang,511.0410828
Xinxiang,2232.877535
Xinyu,432.3267784
Wuxi,4000.420873
Shigatse,136.1870885
Rizhao,2228.212974
Kunming,7762.498533
Kunyu,65.96114121
Changji,1426.958296
Changjiang,307.8516454
Changdu,43.89486091
Zhaotong,1054.896883
Jinzhong,1509.755984
Jincheng,904.6136176
Pu'er,670.8892089
Jingdezhen,926.177365
Qujing,1581.477022
Shuozhou,1347.194616
Chaoyang,915.290064
Benxi,216.1655587
Laibin,652.4027885
Hangzhou,4332.80232
Songyuan,651.5973161
Linzhi,166.618953
Guoluo,37.53878122
Zaozhuang,1630.022056
Liuzhou,2027.573502
Zhuzhou,1968.246503
Guilin,2152.415778
Meizhou,2097.886586
Wuzhou,1647.890139
Chuxiong,965.1759957
Yulin,1590.122756
Wuwei,548.2083702
Wuhan,2845.865261
Bijie,960.3869378
Yongzhou,2091.635698
Hanzhong,810.9709753
Shantou,3066.499727
Shanwei,1774.313565
Jiangmen,2138.235328
Chizhou,626.9368398
Shenyang,1238.80992
Cangzhou,3090.674882
Hechi,959.0677615
Heyuan,1709.801219
Quanzhou,7895.468888
Tai'an,1931.389875
Taizhou,1337.654069
Luzhou,2019.741123
Luoyang,3303.392672
Jinan,4932.43108
Jining,2433.264605
Jiyuan,410.5501437
Haidong,394.8623107
Haibei,74.71302922
Hainan,139.0023075
Haikou,4128.803305
Haixi,625.5198365
Zibo,2153.590177
Huaibei,1105.290432
Huainan,1199.651881
Huai'an,2571.93296
Shenzhen,12665.53359
Qingyuan,1565.41744
Wenzhou,1759.794826
Weinan,588.368947
Huzhou,861.2872909
Xiangtan,1028.965961
Xiangxi,1146.986345
Zhanjiang,5312.155832
Chuzhou,1535.737858
Binzhou,1227.450157
Luohe,687.8750911
Zhangzhou,2782.446537
Weifang,3372.73302
Qianjiang,281.5932067
Chaozhou,1841.528867
Chengmai,601.2590328
Puyang,1946.134721
Yantai,5258.752061
Jiaozuo,1435.712813
Mudanjiang,872.592242
Yulin,1685.268038
Yushu,0
Yuxi,1057.882176
Zhuhai,3472.769304
Qiongzhong,127.3235684
Qionghai,611.0287947
Gannan,203.8623768
Ganzi,240.5191555
Baicheng,616.1055866
Baishan,478.492009
Baisha,110.3879066
Baiyin,581.9814473
Baise,774.7076851
Yiyang,1068.938439
Yancheng,3549.381954
Panjin,620.9262699
Meishan,906.8782002
Shizuishan,415.1010842
Shijiazhuang,6375.556056
Shihezi,588.0897096
Shennongjia,65.60955827
Fuzhou,5971.886362
Qinhuangdao,2735.43369
Honghe,1955.615487
Shaoxing,1347.488514
Suihua,1104.445687
Mianyang,1774.643971
Liaocheng,1301.527746
Zhaoqing,1834.507305
Huyanghe,50.08575845
Zigong,1302.942592
Zhoushan,595.9639351
Wuhu,1669.913313
Suzhou,5288.645189
Maoming,3267.723259
Jingzhou,1466.115487
Jingmen,917.6953428
Putian,2055.147871
Heze,2497.418897
Pingxiang,762.7511015
Yingkou,758.5260638
Huludao,782.6301591
Bengbu,1249.518047
Hengshui,1185.772346
Hengyang,2032.069748
Quzhou,465.6880241
Xiangyang,1740.544986
Xishuangbanna,1293.3669
Xining,2152.138824
Xi'an,1903.237131
Xuchang,1798.470168
Guigang,1390.278291
Guiyang,4271.27048
Hezhou,1239.844846
Ziyang,676.155036
Ganzhou,4859.360068
Chifeng,1379.074981
Liaoyuan,290.8016614
Liaoyang,192.5702941
Dazhou,2318.188902
Yuncheng,612.3603977
Lianyungang,3054.996033
Diqing,187.8849207
Tonghua,601.9026524
Tongliao,703.5372712
Suining,896.8282809
Zunyi,1546.446402
Xingtai,2536.935846
Naqu,0.003324717
Handan,3625.341768
Shaoyang,2409.566536
Zhengzhou,11461.13133
Chenzhou,1972.550671
Ordos,2823.933746
Ezhou,290.9587693
Jiuquan,856.3380281
Chongqing,29033.41985
Jinhua,1086.926605
Jinchang,355.8460076
Qinzhou,909.0217974
Tieling,271.7726805
Tiemenguan,128.9822838
Tongren,1040.815478
Tongchuan,91.42827429
Tongling,624.9983913
Yinchuan,2933.980062
Xilin Gol,444.2562257
Jinzhou,674.6163604
Zhenjiang,1642.740585
Changchun,3950.563266
Changsha,7938.228818
Changzhi,1099.408981
Fuxin,467.4821671
Fuyang,2465.571825
Fangchenggang,888.3297077
Yangjiang,1790.467733
Yangquan,672.6484053
Aksu,363.3520945
Altai,469.4240311
Aba,105.892348
Alxa,374.6789395
Alaer,349.9575229
Ali,48.26523002
Longnan,563.4197855
Lingshui,1086.686696
Suizhou,760.8124199
Ya'an,656.7618796
Qingdao,9617.653504
Anshan,833.9753386
Shaoguan,1924.923008
Ma'anshan,1072.60154
Zhumadian,1262.722692
Jixi,638.6520556
Hebi,586.9600948
Hegang,497.3696307
Yingtan,578.7360247
Huanggang,1677.924451
Huangnan,62.29670518
Huangshan,581.4818354
Huangshi,817.5420916
Heihe,605.3642316
Qiandongnan,1433.726168
Qiannan,1221.701183
Qianxinan,979.4876756
Qiqihar,1050.730796
Longyan,1473.429617
