City,EGHG emissions
Qitaihe,0.073338474
Wanning,253.2673836
Sanya,0.251262343
Sanming,892.4578208
Sanmenxia,419.9403135
Shanghai,8193.819278
Shangrao,1007.801316
Dongfang,0.050415923
Dongguan,4232.194617
Dongying,474.6444436
Zhongwei,10.26697592
Zhongshan,1006.350726
Linxia,127.9128047
Linfen,116.4129628
Linyi,3024.081128
Lincang,0.112543151
Lingao,53.94589927
Dandong,1.923622053
Lishui,118.6394875
Lijiang,367.0058476
Ulanqab,3058.087443
Wuhai,13.78316831
Urumqi,980.8171023
Ledong,63.08718993
Leshan,34.77923451
Jiujiang,2206.146255
Yunfu,1806.388752
Wujiaqu,26.08154739
Wuzhishan,26.72924804
Bozhou,76.65710628
Xiantao,573.3585625
Yichun,12.29930147
Ili,158.0562535
Foshan,6814.996634
Jiamusi,82.84490574
Baoting,4.288148345
Baoding,5389.254083
Baoshan,106.5800343
Xinyang,3470.698986
Danzhou,43.32675186
Kizilsu,29.16625824
Karamay,36.5758191
Lu'an,396.5845584
Liupanshui,150.7985053
Lanzhou,1501.690698
Xingan,4.228421884
Neijiang,1307.503945
Liangshan,1068.690872
Baotou,388.5764694
Beijing,20903.67421
Beitun,17.93928761
Beihai,2.859528644
Shiyan,421.9670409
Nanjing,3354.091895
Nanchong,809.0413535
Nanning,876.9902144
Nanping,412.3569421
Nanchang,1612.898186
Nantong,280.0381231
Nanyang,516.3522113
Bortala,156.6878937
Xiamen,1294.254347
Shuanghe,0.778934716
Shuangyashan,11.95805712
Kekedala,0.000220143
Taizhou,223.7455362
Hefei,2284.399834
Ji'an,1670.169295
Jilin,341.3732957
Turpan,1141.519649
Lvliang,69.379001
Wuzhong,684.3525099
Zhoukou,543.8834719
Hulunbuir,134.2949431
Hohhot,1278.057925
Hotan,42.60235995
Xianning,2314.352682
Xianyang,3723.443551
Hami,1286.845367
Harbin,1600.349497
Tangshan,1715.361872
Shangqiu,898.3887434
Shangluo,564.6459307
Kashgar,34.66475174
Jiaxing,1799.283806
Jiayuguan,110.4644735
Siping,1220.237696
Guyuan,766.2897816
Tumushuke,0.004400871
Tacheng,351.1626768
Daxing'anling,204.648008
Datong,1001.065799
Daqing,157.7882856
Dali,715.9679543
Dalian,25.11153422
Tianshui,319.1284494
Tianjin,12620.54899
Tianmen,84.34697284
Taiyuan,653.2740079
Weihai,5.185404454
Loudi,196.4722137
Xiaogan,6148.284574
Ningde,414.4906746
Ningbo,933.9291347
Anqing,1242.060442
Ankang,356.6489841
Anyang,328.1458171
Anshun,180.7684904
Ding'an,157.7037375
Dingxi,1128.005175
Yibin,1390.617951
Yichang,583.2490407
Yichun,1214.39693
Baoji,616.4290028
Xuancheng,352.1477882
Suzhou,807.1717494
Suqian,2894.012397
Tunchang,52.01529782
Shannan,18.94168051
Yueyang,3454.961393
Chongzuo,21.89871342
Bazhong,29.9418734
Bayannur,335.5810541
Bayingolin,760.8199172
Changzhou,3134.92109
Changde,358.9031064
Pingliang,3027.00238
Pingdingshan,1183.420702
Guangyuan,456.631008
Guang'an,119.9252068
Guangzhou,12219.54988
Qingyang,1730.288961
Langfang,9216.031421
Yan'an,822.0408274
Yanbian,116.3286518
Kaifeng,607.5483745
Zhangjiakou,2883.87828
Zhangjiajie,111.3812042
Zhangye,610.1620425
Xuzhou,1446.987935
Dehong,54.17360743
Dezhou,5940.785366
Deyang,1450.871763
Xinzhou,1284.779903
Huaihua,266.4638076
Nujiang,3.626701374
Enshi,575.5489533
Huizhou,5341.272884
Chengdu,8850.938042
Yangzhou,3172.728535
Chengde,34.96594126
Fuzhou,684.2514297
Fushun,234.6742085
Lhasa,87.4408913
Jieyang,4196.600696
Panzhihua,291.8055215
Wenshan,6.187675814
Wenchang,0.281526031
Xinxiang,970.9484568
Xinyu,636.6959058
Wuxi,3575.205382
Shigatse,18.25608348
Rizhao,116.6831663
Kunming,1598.447956
Kunyu,0
Changji,230.7187938
Changjiang,13.87461949
Changdu,150.2631495
Zhaotong,4417.065631
Jinzhong,943.9920418
Jincheng,47.78889854
Pu'er,284.3991808
Jingdezhen,265.1600088
Qujing,2553.708873
Shuozhou,448.0247517
Chaoyang,48.11279169
Benxi,94.97775092
Laibin,301.138351
Hangzhou,2297.232692
Songyuan,803.0486172
Linzhi,102.0192081
Guoluo,12.95719993
Zaozhuang,475.4933116
Liuzhou,611.1545981
Zhuzhou,481.2849486
Guilin,762.0274014
Meizhou,1085.751691
Wuzhou,1245.077226
Chuxiong,312.6778747
Yulin,73.3339358
Wuwei,449.6457185
Wuhan,9158.180961
Bijie,1246.692697
Yongzhou,254.7496506
Hanzhong,496.9730508
Shantou,1366.281912
Shanwei,1326.251586
Jiangmen,3340.400151
Chizhou,248.5799196
Shenyang,3348.448017
