City,EGHG emissions
Qitaihe,0.198212091
Wanning,684.5059551
Sanya,0.678812089
Sanming,1224.287318
Sanmenxia,485.6407526
Shanghai,21662.27933
Shangrao,1169.679332
Dongfang,0.136239832
Dongguan,10415.38534
Dongying,476.3759079
Zhongwei,20.99237825
Zhongshan,2649.246408
Linxia,159.4105111
Linfen,123.4607731
Linyi,3292.878918
Lincang,0.260977148
Lingao,145.7996153
Dandong,2.240333924
Lishui,127.1647236
Lijiang,368.9933313
Ulanqab,3083.011326
Wuhai,30.53576596
Urumqi,2002.262926
Ledong,170.5058943
Leshan,35.36407118
Jiujiang,3729.452655
Yunfu,2127.613783
Wujiaqu,70.47912285
Wuzhishan,72.24120441
Bozhou,110.5338196
Xiantao,1379.067643
Yichun,12.55726063
Ili,369.2390372
Foshan,14540.92773
Jiamusi,174.5165326
Baoting,11.58959012
Baoding,9022.579551
Baoshan,180.8066461
Xinyang,3879.289669
Danzhou,117.099248
Kizilsu,35.11725245
Karamay,98.83100452
Lu'an,470.2847637
Liupanshui,151.1413194
Lanzhou,1817.949092
Xingan,4.234559662
Neijiang,1876.192467
Liangshan,1079.615114
Baotou,501.7428545
Beijing,53988.96489
Beitun,48.45602146
Beihai,3.247149275
Shiyan,429.6227582
Nanjing,7502.44255
Nanchong,1934.646529
Nanning,1726.854754
Nanping,416.1317973
Nanchang,3083.779686
Nantong,524.8649839
Nanyang,569.7448627
Bortala,266.7819843
Xiamen,2091.83017
Shuanghe,2.105228962
Shuangyashan,32.31907331
Kekedala,0.000594981
Taizhou,367.0765026
Hefei,4122.091235
Ji'an,2004.7268
Jilin,562.1671659
Turpan,1710.424888
Lvliang,165.9884131
Wuzhong,736.5757385
Zhoukou,598.3155492
Hulunbuir,144.5233726
Hohhot,1659.700671
Hotan,42.61141728
Xianning,4340.210338
Xianyang,4755.204381
Hami,1310.98747
Harbin,2970.80046
Tangshan,2969.968977
Shangqiu,1002.877148
Shangluo,710.1126477
Kashgar,50.29751766
Jiaxing,4120.951201
Jiayuguan,122.4039287
Siping,1780.77246
Guyuan,766.4235772
Tumushuke,0.011894247
Tacheng,807.2181633
Daxing'anling,217.2700071
Datong,1228.048227
Daqing,282.9519867
Dali,1387.833296
Dalian,30.33381116
Tianshui,463.7257525
Tianjin,29427.06366
Tianmen,109.1994719
Taiyuan,1381.306986
Weihai,10.22790161
Loudi,464.5981619
Xiaogan,7811.45826
Ningde,432.5872604
Ningbo,2384.555081
Anqing,1275.076993
Ankang,469.0090817
Anyang,422.9855723
Anshun,372.2139982
Ding'an,426.2260856
Dingxi,1201.144886
Yibin,1406.883525
Yichang,960.690586
Yichun,1844.345856
Baoji,911.1840078
Xuancheng,389.241982
Suzhou,1020.233713
Suqian,5456.785046
Tunchang,140.5818739
Shannan,43.53362713
Yueyang,7362.760566
Chongzuo,59.18565244
Bazhong,30.38338851
Bayannur,474.2665313
Bayingolin,1380.221871
Changzhou,5897.140564
Changde,804.5568187
Pingliang,3233.572458
Pingdingshan,1436.02036
Guangyuan,468.6610299
Guang'an,130.6573037
Guangzhou,24878.0638
Qingyang,1731.826335
Langfang,20772.03987
Yan'an,928.5260406
Yanbian,116.828466
Kaifeng,1012.049138
Zhangjiakou,3103.543861
Zhangjiajie,207.7364191
Zhangye,610.1680531
Xuzhou,2112.4917
Dehong,64.79778622
Dezhou,13385.02656
Deyang,3502.689205
Xinzhou,1385.339665
Huaihua,308.5863269
Nujiang,9.801685209
Enshi,785.7457194
