City,Net GHG Transfer
Qitaihe,309.8056739
Wanning,-87.5800641
Sanya,3804.845664
Sanming,251.272816
Sanmenxia,377.8562165
Shanghai,10347.49252
Shangrao,628.786208
Dongfang,387.6674606
Dongguan,-5280.896073
Dongying,938.2135487
Zhongwei,338.4976783
Zhongshan,-281.0839214
Linxia,112.114256
Linfen,1292.105599
Linyi,-39.75180664
Lincang,680.7728318
Lingao,68.45508844
Dandong,427.5816676
Lishui,286.8271723
Lijiang,258.0731761
Ulanqab,-1920.546182
Wuhai,885.4989671
Urumqi,296.1556327
Ledong,475.0875664
Leshan,947.1528784
Jiujiang,-1912.229129
Yunfu,-875.6805702
Wujiaqu,128.5948722
Wuzhishan,92.09358654
Bozhou,1668.326287
Xiantao,-884.5796882
Yichun,359.1080891
Ili,1520.080447
Foshan,-9850.660774
Jiamusi,678.4054479
Baoting,208.6892232
Baoding,-3135.794004
Baoshan,636.156692
Xinyang,-1231.135889
Danzhou,694.2037967
Kizilsu,636.6722025
Karamay,680.0518304
Lu'an,889.713578
Liupanshui,485.1603616
Lanzhou,1899.925283
Xingan,570.5040471
Neijiang,-716.3296057
Liangshan,-536.726517
Baotou,2359.158301
Beijing,2863.719767
Beitun,81.0048933
Beihai,1320.290412
Shiyan,856.0595848
Nanjing,1929.999006
Nanchong,-274.4975402
Nanning,1622.912758
Nanping,1562.101316
Nanchang,501.7181471
Nantong,4452.645485
Nanyang,2112.307979
Bortala,166.8246989
Xiamen,6240.808557
Shuanghe,-1.789444617
Shuangyashan,434.2688726
Kekedala,-0.000505734
Taizhou,1440.021855
Hefei,1356.792744
Ji'an,-199.3586756
Jilin,749.6677752
Turpan,-1108.533619
Lvliang,856.2115487
Wuzhong,-206.6766894
Zhoukou,1513.286906
Hulunbuir,385.5337585
Hohhot,2993.26152
Hotan,466.6134067
Xianning,-3210.69861
Xianyang,-3281.952462
Hami,50.37975792
Harbin,2346.86173
Tangshan,-426.6979611
Shangqiu,1289.941218
Shangluo,-365.9758039
Kashgar,643.2102988
Jiaxing,-2050.291041
Jiayuguan,109.1396918
Siping,-1065.758473
Guyuan,-462.8632092
Tumushuke,232.9922351
Tacheng,-200.68396
Daxing'anling,-14.73912069
Datong,82.94684355
Daqing,1217.705673
Dali,631.018178
Dalian,2652.328187
Tianshui,177.1327407
Tianjin,-7810.973346
Tianmen,349.7599399
Taiyuan,3307.276563
Weihai,2312.833014
Loudi,814.6219245
Xiaogan,-5882.281332
Ningde,1359.266168
Ningbo,358.608266
Anqing,97.51101514
Ankang,206.6529214
Anyang,1608.282193
Anshun,298.6461865
Ding'an,-233.1575338
Dingxi,-640.882903
Yibin,533.2187579
Yichang,749.5369653
Yichun,-239.9200891
Baoji,200.142439
Xuancheng,481.0945911
Suzhou,776.3269205
Suqian,-2266.821542
Tunchang,-12.67337663
Shannan,45.16156687
Yueyang,-5369.893538
Chongzuo,385.2091292
Bazhong,1094.603167
Bayannur,691.6445415
Bayingolin,1666.15836
Changzhou,-2129.199442
Changde,637.8977851
Pingliang,-2441.075519
Pingdingshan,-10.25413221
Guangyuan,380.0461269
Guang'an,722.4035459
Guangzhou,-18083.25278
Qingyang,-1178.83924
Langfang,-14188.13902
Yan'an,-402.97103
Yanbian,569.6711181
Kaifeng,678.0699994
Zhangjiakou,-762.7944389
Zhangjiajie,347.1961685
Zhangye,-28.22391347
Xuzhou,2794.437085
Dehong,652.2723277
Dezhou,-10793.86546
Deyang,-2551.035082
Xinzhou,-131.4400226
Huaihua,1165.611794
Nujiang,144.8841307
Enshi,705.081795
Huizhou,-4109.132694
Chengdu,-13304.22807
Yangzhou,-2514.841188
Chengde,2201.498157
Fuzhou,460.8014036
