City,EGHG emissions
Qitaihe,0.168480278
Wanning,581.8301047
Sanya,0.57701453
Sanming,1051.726888
Sanmenxia,429.1900392
Shanghai,18417.29058
Shangrao,1019.148954
Dongfang,0.115805568
Dongguan,8864.49336
Dongying,407.3422665
Zhongwei,18.42683464
Zhongshan,2253.381516
Linxia,151.5403718
Linfen,114.7668819
Linyi,2840.644626
Lincang,0.221830576
Lingao,123.9296829
Dandong,2.148109905
Lishui,108.9155396
Lijiang,313.6915575
Ulanqab,2630.960486
Wuhai,26.0411407
Urumqi,1717.651577
Ledong,144.9300123
Leshan,35.18651063
Jiujiang,3186.020751
Yunfu,1808.999212
Wujiaqu,59.90725442
Wuzhishan,61.40502432
Bozhou,100.4637283
Xiantao,1178.311059
Yichun,12.48929246
Ili,313.8531816
Foshan,12371.52161
Jiamusi,149.2661003
Baoting,9.851151604
Baoding,7706.281502
Baoshan,153.6856492
Xinyang,3322.651289
Danzhou,99.53436795
Kizilsu,33.70034906
Karamay,84.00802085
Lu'an,412.6903986
Liupanshui,134.8417747
Lanzhou,1601.777493
Xingan,4.220718546
Neijiang,1602.457437
Liangshan,918.5610948
Baotou,431.6170968
Beijing,45919.01086
Beitun,41.18969592
Beihai,2.956973585
Shiyan,378.293988
Nanjing,6390.408136
Nanchong,1666.246866
Nanning,1471.456153
Nanping,359.9927131
Nanchang,2630.129491
Nantong,453.3754271
Nanyang,504.422752
Bortala,226.7646867
Xiamen,1779.063208
Shuanghe,1.789444617
Shuangyashan,27.47121231
Kekedala,0.000505734
Taizhou,313.0079628
Hefei,3529.380635
Ji'an,1727.510476
Jilin,477.8495988
Turpan,1509.234314
Lvliang,142.9860682
Wuzhong,626.7923668
Zhoukou,521.2485104
Hulunbuir,123.0278985
Hohhot,1416.192771
Hotan,39.56736062
Xianning,3707.660091
Xianyang,4077.107646
Hami,1248.036138
Harbin,2533.406225
Tangshan,2540.459762
Shangqiu,863.8507145
Shangluo,618.0870993
Kashgar,46.45426107
Jiaxing,3513.239799
Jiayuguan,118.0324218
Siping,1519.508427
Guyuan,656.48408
Tumushuke,0.01011011
Tacheng,686.1473653
Daxing'anling,187.3334886
Datong,1044.820414
Daqing,241.3568701
Dali,1179.724372
Dalian,28.28639618
Tianshui,429.2978228
Tianjin,25047.16586
Tianmen,98.34644708
Taiyuan,1175.410056
Weihai,8.772438751
Loudi,400.1735597
Xiaogan,6659.019188
Ningde,370.6888126
Ningbo,2029.687611
Anqing,1104.095171
Ankang,419.6102156
Anyang,371.1097081
Anshun,323.8308331
Ding'an,362.2921932
Dingxi,1074.730499
Yibin,1204.882628
Yichang,843.9940859
Yichun,1578.599218
Baoji,810.5793697
Xuancheng,339.4585092
Suzhou,879.8743165
Suqian,4656.019248
Tunchang,119.4945938
Shannan,37.67840174
Yueyang,6289.903974
Chongzuo,50.30780458
Bazhong,30.27810836
Bayannur,411.6382376
Bayingolin,1232.473098
Changzhou,5029.923539
Changde,695.0548035
Pingliang,2769.658403
Pingdingshan,1228.657574
Guangyuan,430.7643924
Guang'an,122.2817263
Guangzhou,21186.22971
Qingyang,1472.61251
Langfang,17686.9747
Yan'an,793.939444
Yanbian,99.38305688
Kaifeng,869.2599613
Zhangjiakou,2644.044001
Zhangjiajie,181.7530529
Zhangye,577.4653199
Xuzhou,1815.500846
Dehong,55.07811829
Dezhou,11400.03317
Deyang,2986.940515
Xinzhou,1178.771831
Huaihua,297.4188381
Nujiang,8.331432427
Enshi,697.7705281
Huizhou,6587.248149
Chengdu,15294.95313
Yangzhou,4045.054651
Chengde,52.92173378
Fuzhou,697.1154495
Fushun,522.4617595
Lhasa,173.444977
Jieyang,4569.319682
Panzhihua,259.0697178
Wenshan,8.827857187
Wenchang,0.63129299
Xinxiang,1140.513204
Xinyu,934.1392213
Wuxi,5881.359768
Shigatse,41.93128436
Rizhao,132.9524757
Kunming,2159.290002
Kunyu,0
Changji,302.0789911
Changjiang,31.87410548
Changdu,150.5290367
Zhaotong,3764.051375
Jinzhong,1970.553352
Jincheng,50.25762567
Pu'er,303.9191176
Jingdezhen,246.7035001
Qujing,2273.133483
Shuozhou,389.7557127
Chaoyang,48.32112248
Benxi,216.1923672
Laibin,401.6072555
Hangzhou,3644.236438
Songyuan,806.2185283
Linzhi,103.8354336
Guoluo,14.47177649
Zaozhuang,673.1644871
Liuzhou,1008.498947
Zhuzhou,599.2759279
Guilin,746.8166208
Meizhou,1157.305061
Wuzhou,1458.630431
Chuxiong,561.6660337
Yulin,66.81922505
Wuwei,440.275595
Wuhan,14039.01197
Bijie,1117.15413
Yongzhou,251.0522151
Hanzhong,446.5622689
Shantou,1222.796105
Shanwei,1321.827807
Jiangmen,4327.547216
Chizhou,245.7818339
Shenyang,5048.537443
Cangzhou,4004.502127
Hechi,27.81969045
Heyuan,3634.166443
Quanzhou,1913.725114
Tai'an,2249.084944
Taizhou,2037.72474
Luzhou,2320.837453
Luoyang,681.1096801
Jinan,8177.500961
Jining,1192.458643
Jiyuan,21.14629095
Haidong,673.4983346
Haibei,164.0519334
Hainan,136.1960554
Haikou,1103.943213
Haixi,230.7581685
Zibo,2112.306923
Huaibei,188.1647918
Huainan,536.5265882
Huai'an,2581.339851
Shenzhen,373.2732828
Qingyuan,1945.211018
Wenzhou,615.0136295
Weinan,913.8220236
Huzhou,1069.25107
Xiangtan,1263.097778
Xiangxi,274.743717
Zhanjiang,2499.456633
Chuzhou,2467.334259
Binzhou,3151.616938
Luohe,1860.274535
Zhangzhou,5285.744898
Weifang,4429.858752
Qianjiang,708.0986889
Chaozhou,2253.161887
Chengmai,250.6839385
Puyang,209.6624971
Yantai,605.6064702
Jiaozuo,259.5518299
Mudanjiang,268.8877596
Yulin,1446.699605
Yushu,168.5228551
Yuxi,576.9331192
Zhuhai,13.67161944
Qiongzhong,145.7572255
Qionghai,411.1909366
Gannan,195.4615151
Ganzi,280.2798391
Baicheng,300.0617773
Baishan,0.873819253
Baisha,25.82171887
Baiyin,496.2099247
Baise,60.27730723
Yiyang,394.5737787
Yancheng,285.4162607
Panjin,845.4152271
Meishan,2627.07734
Shizuishan,3.343225358
Shijiazhuang,738.4102454
Shihezi,53.10437788
Shennongjia,0.846831837
Fuzhou,1694.259894
Qinhuangdao,657.6046843
Honghe,429.5504611
Shaoxing,2598.217658
Suihua,781.5358158
Mianyang,983.5040668
Liaocheng,2356.270308
Zhaoqing,3800.0906
Huyanghe,0.002414948
Zigong,1335.206378
Zhoushan,0.357030449
Wuhu,859.3846639
Suzhou,21551.4316
Maoming,3693.027984
Jingzhou,1067.952825
Jingmen,363.4531434
Putian,603.5839257
Heze,243.6070283
Pingxiang,47.64216891
Yingkou,898.2132254
Huludao,1026.919407
Bengbu,664.900142
Hengshui,849.8934695
Hengyang,2478.780469
Quzhou,669.8050342
Xiangyang,1008.999398
Xishuangbanna,124.9170176
Xining,219.7853224
Xi'an,3756.111978
Xuchang,2184.000951
Guigang,624.8117285
Guiyang,1604.30422
Hezhou,714.5068135
Ziyang,4059.614844
Ganzhou,1269.060738
Chifeng,74.01846717
Liaoyuan,9.131154182
Liaoyang,1024.464794
Dazhou,479.6359632
Yuncheng,84.10475891
Lianyungang,168.9002958
Diqing,15.04967017
Tonghua,171.9486671
Tongliao,341.1410202
Suining,1284.861223
Zunyi,885.2693793
Xingtai,2911.174062
Naqu,30.64444063
Handan,859.9914843
Shaoyang,179.3850286
Zhengzhou,4528.003604
Chenzhou,651.4853607
Ordos,201.8058802
Ezhou,1753.758278
Jiuquan,1026.151028
Chongqing,16456.21547
Jinhua,1711.96641
Jinchang,148.9539713
Qinzhou,616.4945028
Tieling,4141.283494
Tiemenguan,3.870963335
Tongren,197.4623192
Tongchuan,268.7390887
Tongling,185.2546985
Yinchuan,301.692831
Xilin Gol,42.05429011
Jinzhou,940.6421278
Zhenjiang,7363.764286
Changchun,4220.597383
Changsha,3382.120901
Changzhi,286.9812431
Fuxin,644.1563287
Fuyang,722.0313773
Fangchenggang,0.60827932
Yangjiang,3076.026538
Yangquan,32.66257959
Aksu,354.7871626
Altai,0.053519924
Aba,49.5072986
Alxa,146.4492898
Alaer,61.2269408
Ali,2.025492623
Longnan,310.0024546
Lingshui,387.9540437
