City,Outsourced Cities
Wujiaqu,7.328227654
Jixi,7.051121104
Luohe,3.451406361
Jingdezhen,4.726841655
Longnan,6.132617467
Sanmenxia,4.538343384
Jincheng,6.534942456
Anshun,4.616401129
Heihe,7.124625021
Fuxin,4.508848836
Zhangye,8.246084839
Lincang,8.01000093
Baiyin,5.38763577
Suizhou,3.144549753
Wuwei,6.207112356
Dehong,8.806632325
Liupanshui,5.884574357
Xianning,2.465769447
Baishan,5.409412181
Shuangyashan,6.997568068
Laibin,4.308561618
Shangluo,3.249333985
Tumushuke,11.17998434
Zhoushan,3.187648953
Pingxiang,5.577802892
Dingxi,5.245274401
Benxi,3.240206098
Linzhi,4.374212379
Liaoyang,3.043551983
Qingyang,4.625167216
Yangquan,5.331175191
Pu'er,7.879947429
Tongling,6.032150725
Haixi,9.799998427
Lijiang,5.52009042
Chizhou,6.614745349
Hegang,7.271439477
Pingliang,4.463691746
Jiayuguan,10.0289669
Wenshan,6.258538177
Shigatse,6.29257367
Huangshan,4.330890955
Ledong,10.55056453
Yichun,7.031131745
Chengmai,4.453530879
Wuzhong,4.336834718
Qionghai,5.696632512
Ali,7.596182803
Zhangjiajie,5.024264985
Hebi,6.948302494
Wanning,6.583119462
Yingtan,4.786411849
Haidong,7.878866556
Xilin Gol,4.539011555
Tianmen,5.347626603
Shannan,6.109909171
Wenchang,4.638772383
Liaoyuan,5.394193466
Shizuishan,4.705027496
Zhongwei,5.265846031
Jinchang,7.081758284
Qitaihe,7.805766925
Xinyu,6.131488745
Dongfang,9.652677368
Guyuan,5.742629457
Changdu,4.414182566
Beitun,8.858313157
Linxia,7.00502431
Xiantao,3.139854276
Ezhou,2.09757401
Jiyuan,5.691872603
Alxa,10.36660802
Tongchuan,3.931060544
Qianjiang,4.030545504
Tiemenguan,9.72288414
Huyanghe,15.59618272
Ganzi,5.205680172
Changjiang,9.484117555
Gannan,8.286512006
Lingao,5.641064606
Baoting,10.48051591
Daxing'anling,10.39860731
Hainan,8.52238708
Nujiang,7.612700968
Diqing,9.958425086
Kunyu,12.70858317
Wuzhishan,8.563113396
Aba,4.500397078
Ding'an,4.843508485
Tunchang,6.774509504
Qiongzhong,8.679315609
Baisha,8.676369174
Haibei,8.548853923
Huangnan,7.925175429
Shennongjia,5.913498664
Guoluo,11.15792961
Naqu,10
