City,Net GHG Transfer
Shizuishan,447.8991458
Shijiazhuang,3478.113832
Shihezi,2874.250567
Shennongjia,37.43778323
Fuzhou,4817.785843
Qinhuangdao,-485.2428159
Honghe,1550.915282
Shaoxing,-1260.680319
Suihua,704.5156868
Mianyang,263.7723216
Liaocheng,-827.1223894
Zhaoqing,-2509.866785
Huyanghe,286.3828173
Zigong,-329.9831576
Zhoushan,397.2825126
Wuhu,118.7003169
Suzhou,-1082.609843
Maoming,-837.7403142
Jingzhou,-1869.465362
Jingmen,-2096.435656
Putian,1228.621738
Heze,1341.012027
Pingxiang,195.2623679
Yingkou,184.8790849
Huludao,-2790.463398
Bengbu,-525.5917088
Hengshui,-3115.778781
Hengyang,-3394.03515
Quzhou,-2645.520314
Xiangyang,-420.6988282
Xishuangbanna,1341.015493
Xining,2258.184519
Xi'an,1316.571068
Xuchang,-1690.529511
Guigang,280.1437449
Guiyang,3125.419188
Hezhou,-977.3544498
Ziyang,-1755.413349
Ganzhou,-3595.72605
Chifeng,1076.433312
Liaoyuan,268.4338477
Liaoyang,-131.8208022
Dazhou,953.1342861
Yuncheng,85.67055419
Lianyungang,1393.526296
Diqing,199.9896452
Tonghua,427.4740782
Tongliao,417.392967
Suining,-551.5639449
Zunyi,432.9004692
Xingtai,-3125.893136
Naqu,-317.1827124
Handan,-1048.361608
Shaoyang,1365.237704
Zhengzhou,9524.574066
Chenzhou,-2144.238776
Ordos,2416.710598
Ezhou,-858.5123928
Jiuquan,-12479.62037
Chongqing,7423.938494
Jinhua,-1809.142643
Jinchang,-1611.102482
Qinzhou,452.0906564
Tieling,-3944.836756
Tiemenguan,260.6269921
Tongren,-70.41581012
Tongchuan,17.85717245
Tongling,101.467761
Yinchuan,3352.771509
Xilin Gol,492.2608455
Jinzhou,-925.8677984
Zhenjiang,-3852.278741
Changchun,-351.7453274
Changsha,1356.711515
Changzhi,-712.8675544
Fuxin,-290.4338623
Fuyang,1435.63187
Fangchenggang,909.7851022
Yangjiang,-1346.610362
Yangquan,461.8225969
Aksu,1821.091159
Altai,1346.273117
Aba,91.72169853
Alxa,-2308.042253
Alaer,1306.89208
Ali,870.5296416
Longnan,-391.2385078
Lingshui,759.3625563
Suizhou,-2693.793245
Ya'an,-1271.456319
Qingdao,5315.029323
Anshan,977.960826
Shaoguan,-774.9835611
Ma'anshan,-1504.885926
Zhumadian,-8297.620467
Jixi,553.8431757
Hebi,-32.29243474
Hegang,449.3354058
Yingtan,-980.1573726
Huanggang,-2137.617331
Huangnan,59.51711062
Huangshan,77.12998372
Huangshi,-2243.795728
Heihe,-259.5381689
Qiandongnan,-902.3315292
Qiannan,-1047.103523
Qianxinan,635.6266147
Qiqihar,662.425897
Longyan,537.43964
