City,OGHG emissions
Qitaihe,267.2950387
Wanning,494.6596315
Sanya,3349.230235
Sanming,1214.173585
Sanmenxia,732.0218535
Shanghai,21220.24737
Shangrao,1275.39252
Dongfang,350.5267022
Dongguan,5677.970782
Dongying,860.142687
Zhongwei,372.5370422
Zhongshan,2337.861711
Linxia,292.3913201
Linfen,1411.548907
Linyi,2234.829453
Lincang,631.7046853
Lingao,207.5955928
Dandong,1157.015377
Lishui,288.221196
Lijiang,578.7046318
Ulanqab,520.0507574
Wuhai,895.4359147
Urumqi,28583.85924
Ledong,513.68864
Leshan,904.275509
Jiujiang,833.0964588
Yunfu,752.8267399
Wujiaqu,776.4133344
Wuzhishan,140.7979514
Bozhou,1254.264057
Xiantao,235.8499673
Yichun,389.2272879
Ili,4643.546466
Foshan,4500.548328
Jiamusi,829.3815405
Baoting,185.1363962
Baoding,3711.154581
Baoshan,786.9324694
Xinyang,1385.370403
Danzhou,906.6852873
Kizilsu,1129.964438
Karamay,2633.373295
Lu'an,757.6607637
Liupanshui,583.0189548
Lanzhou,4512.485217
Xingan,1660.311687
Neijiang,783.9705054
Liangshan,869.8569043
Baotou,2920.248699
Beijing,44526.29761
Beitun,356.2269164
Beihai,1341.056745
Shiyan,911.1604572
Nanjing,5446.551759
Nanchong,1379.395818
Nanning,4118.810774
Nanping,1582.01483
Nanchang,2119.185765
Nantong,3167.881323
Nanyang,1632.578927
Bortala,1263.873736
Xiamen,9182.297379
Shuanghe,0
Shuangyashan,439.5819382
Kekedala,0
Taizhou,1265.023351
Hefei,3295.118039
Ji'an,974.3729588
Jilin,1244.166323
Turpan,1039.427344
Lvliang,780.1490631
Wuzhong,487.5550456
Zhoukou,1420.176636
Hulunbuir,952.9778576
Hohhot,6567.325754
Hotan,1609.373019
Xianning,428.4440956
Xianyang,1287.270663
Hami,3339.698386
Harbin,7727.262213
Tangshan,1876.197223
Shangqiu,2124.800049
Shangluo,295.3793211
Kashgar,5774.45504
Jiaxing,1641.133936
Jiayuguan,548.6074463
Siping,455.4134323
Guyuan,154.0350173
