City,EGHG emissions
Qitaihe,0.202642559
Wanning,688.7400732
Sanya,0.682304948
Sanming,2274.541677
Sanmenxia,1189.268015
Shanghai,22159.35167
Shangrao,4188.776345
Dongfang,0.138548635
Dongguan,11110.36208
Dongying,579.904395
Zhongwei,71.66434774
Zhongshan,2884.636015
Linxia,55.43550647
Linfen,1884.442785
Linyi,9504.320496
Lincang,0.285954636
Lingao,146.9491049
Dandong,0.764398752
Lishui,152.2104923
Lijiang,388.4318726
Ulanqab,4030.915809
Wuhai,38.61644366
Urumqi,3260.831165
Ledong,171.5571063
Leshan,1.290585285
Jiujiang,5510.520333
Yunfu,2218.4965
Wujiaqu,73.43040015
Wuzhishan,72.64783407
Bozhou,324.4748001
Xiantao,2226.251071
Yichun,0.471830561
Ili,387.6592346
Foshan,15467.95834
Jiamusi,266.4483103
Baoting,11.63672571
Baoding,11652.57177
Baoshan,186.8201125
Xinyang,5523.453187
Danzhou,117.9760207
Kizilsu,294.8807671
Karamay,102.6629203
Lu'an,1216.038952
Liupanshui,221.8196854
Lanzhou,6749.174137
Xingan,0.108896996
Neijiang,2570.287956
Liangshan,1153.253422
Baotou,1102.434763
Beijing,56330.85723
Beitun,50.74530062
Beihai,27.57176043
Shiyan,920.9987101
Nanjing,8297.49492
Nanchong,2453.265466
Nanning,2131.885559
Nanping,1048.279242
Nanchang,3969.073529
Nantong,1313.752419
Nanyang,2658.31332
Bortala,278.2394884
Xiamen,2230.320834
Shuanghe,2.242005459
Shuangyashan,33.08242967
Kekedala,0.000594981
Taizhou,429.2501001
Hefei,7008.894991
Ji'an,4474.876798
Jilin,575.5082523
Turpan,3792.157523
Lvliang,157.7874719
Wuzhong,836.2933019
Zhoukou,1833.429562
Hulunbuir,153.5528493
Hohhot,2272.232583
Hotan,21.04728593
Xianning,5457.224544
Xianyang,9370.054329
Hami,13343.1373
Harbin,4296.781098
Tangshan,4824.872863
Shangqiu,1386.902434
Shangluo,1900.620437
Kashgar,172.333391
Jiaxing,5314.185884
Jiayuguan,1246.609681
Siping,2214.949759
Guyuan,2234.462639
Tumushuke,0.012870516
Tacheng,842.6131889
Daxing'anling,564.8540786
Datong,1387.709283
Daqing,289.5934227
Dali,1430.463065
Dalian,18.38371826
Tianshui,232.263722
