City,Average Order Weight
Zhaoqing,7.687983636
Huyanghe,6.455822596
Zigong,7.772215294
Zhoushan,7.083388322
Wuhu,6.532927287
Suzhou,6.846907945
Maoming,7.470348274
Jingzhou,7.041522089
Jingmen,7.337695375
Putian,5.469522837
Heze,7.347101812
Pingxiang,8.036694617
Yingkou,5.4210029
Huludao,5.686678553
Bengbu,6.395076221
Hengshui,7.050786687
Hengyang,6.89236713
Quzhou,3.650213247
Xiangyang,7.346701455
Xishuangbanna,8.404906381
Xining,5.419079146
Xi'an,4.010023877
Xuchang,8.054782146
Guigang,5.735010381
Guiyang,7.166223927
Hezhou,8.081015214
Ziyang,6.979325071
Ganzhou,7.960924882
Chifeng,5.275689582
Liaoyuan,6.271094336
Liaoyang,4.528636144
Dazhou,7.819894567
Yuncheng,5.009975695
Lianyungang,7.184745905
Diqing,8.620611474
Tonghua,5.194068707
Tongliao,5.217841324
Suining,7.413036587
Zunyi,6.679407939
Xingtai,7.55984307
Naqu,3.26273231
Handan,7.562922402
Shaoyang,6.946298947
Zhengzhou,7.587057834
Chenzhou,7.014831608
Ordos,7.920338958
Ezhou,7.005960707
Jiuquan,6.700417497
Chongqing,7.768728569
Jinhua,3.406913138
Jinchang,6.03233223
Qinzhou,5.995192716
Tieling,4.394036771
Tiemenguan,7.0465526
Tongren,7.989296066
Tongchuan,3.844072102
Tongling,6.924276559
Yinchuan,6.598523887
Xilin Gol,7.43037323
Jinzhou,5.237566602
Zhenjiang,6.358833877
Changchun,5.790205385
Changsha,7.021050567
Changzhi,7.389467316
Fuxin,5.355267829
Fuyang,6.44580368
Fangchenggang,6.953978614
Yangjiang,7.691842296
Yangquan,7.551543553
Aksu,6.607001333
Altai,7.434188005
Aba,7.399920378
Alxa,8.298811698
Alaer,6.742146216
Ali,8.476431801
Longnan,5.502377282
Lingshui,8.582485739
Suizhou,7.449394206
Ya'an,7.22774587
Qingdao,6.94486078
Anshan,4.751852356
Shaoguan,8.02879582
Ma'anshan,6.840788428
Zhumadian,5.836753679
Jixi,5.630923729
Hebi,7.896448966
Hegang,5.743848792
Yingtan,7.602383023
Huanggang,7.741231284
Huangnan,6.190433714
Huangshan,6.901972459
Huangshi,7.797296494
Heihe,5.685936798
Qiandongnan,8.009650916
Qiannan,7.877956322
Qianxinan,8.020132621
Qiqihar,5.384694352
Longyan,7.555117123
