City,OGHG emissions
Qitaihe,229.6881928
Wanning,459.7993899
Sanya,3109.076576
Sanming,1153.949673
Sanmenxia,723.7359124
Shanghai,14745.07985
Shangrao,1256.962324
Dongfang,327.8554254
Dongguan,2050.40262
Dongying,652.0544524
Zhongwei,339.58223
Zhongshan,997.677349
Linxia,253.6440482
Linfen,1329.626001
Linyi,1802.841729
Lincang,539.6086592
Lingao,191.4002296
Dandong,270.6237699
Lishui,208.7831941
Lijiang,503.9747574
Ulanqab,376.9737203
Wuhai,899.4042246
Urumqi,1937.912946
Ledong,488.3309189
Leshan,482.5559527
Jiujiang,734.3457468
Yunfu,438.6824118
Wujiaqu,165.9834447
Wuzhishan,132.2930441
Bozhou,1283.397914
Xiantao,172.6152928
Yichun,293.3670073
Ili,1287.764158
Foshan,1406.955962
Jiamusi,700.9833707
Baoting,175.7969852
Baoding,2215.122321
Baoshan,683.6060735
Xinyang,1162.698515
Danzhou,748.0834261
Kizilsu,660.8122885
Karamay,600.912555
Lu'an,672.1254075
Liupanshui,512.2089859
Lanzhou,3996.285817
Xingan,548.5543946
Neijiang,431.9820325
Liangshan,327.1505828
Baotou,2899.931669
Beijing,23979.06442
Beitun,88.64027837
Beihai,1287.880605
Shiyan,839.0342741
Nanjing,4543.959168
Nanchong,728.6450219
Nanning,3443.898214
Nanping,1530.946313
Nanchang,1829.694856
Nantong,2420.628062
Nanyang,1394.277372
Bortala,402.1245329
Xiamen,9009.999843
Shuanghe,0
Shuangyashan,370.6989197
Kekedala,0
Taizhou,882.4742874
Hefei,2776.186204
Ji'an,897.2235517
Jilin,630.5164066
Turpan,277.4023746
Lvliang,645.3037015
Wuzhong,432.7759918
Zhoukou,1122.405354
Hulunbuir,532.7930721
Hohhot,4745.978491
Hotan,522.5815321
Xianning,314.104583
Xianyang,523.7182901
Hami,1431.398143
Harbin,5568.446736
Tangshan,1042.257568
Shangqiu,2001.862721
Shangluo,149.0004475
Kashgar,676.0826652
Jiaxing,1064.850265
Jiayuguan,254.1399268
Siping,232.4907353
Guyuan,98.41810385
Tumushuke,194.0437254
Tacheng,405.8347005
Daxing'anling,190.1302076
Datong,534.6592732
Daqing,1223.298132
Dali,1660.232961
Dalian,1576.58827
Tianshui,316.9661763
Tianjin,8191.65495
Tianmen,246.8458979
Taiyuan,3151.613941
Weihai,2108.516111
Loudi,629.6331327
Xiaogan,490.1200807
Ningde,1576.902613
Ningbo,1431.430686
Anqing,665.7421224
Ankang,330.8754331
Anyang,1934.120105
Anshun,588.0019984
Ding'an,135.6025539
Dingxi,455.0385719
Yibin,825.7980233
Yichang,905.2091054
Yichun,745.7887275
Baoji,527.2462212
Xuancheng,409.3668941
Suzhou,984.7462515
Suqian,1523.268654
Tunchang,104.5870014
Shannan,55.16048208
Yueyang,555.7448595
Chongzuo,449.5766134
Bazhong,528.8603163
Bayannur,1104.507029
Bayingolin,1794.483662
Changzhou,1551.295837
Changde,733.2228566
Pingliang,169.0884025
Pingdingshan,731.8830534
Guangyuan,386.3416819
Guang'an,425.019485
Guangzhou,2091.152613
Qingyang,162.2886031
Langfang,1716.735764
Yan'an,214.6339605
Yanbian,328.823864
Kaifeng,1536.688403
Zhangjiakou,891.792924
Zhangjiajie,269.5198838
Zhangye,585.1001186
Xuzhou,3330.580651
Dehong,690.335591
Dezhou,371.9078186
Deyang,276.7607417
Xinzhou,648.2861267
Huaihua,732.8645505
Nujiang,120.9461365
Enshi,715.265677
Huizhou,1284.300678
Chengdu,1388.517647
Yangzhou,830.5669768
Chengde,1051.717269
Fuzhou,622.4006883
Fushun,173.4571612
Lhasa,394.2511608
Jieyang,803.0459281
Panzhihua,968.5602564
Wenshan,510.3455726
Wenchang,454.9248954
Xinxiang,1954.483558
Xinyu,207.9155934
Wuxi,1884.182004
Shigatse,74.84157862
Rizhao,1146.566871
Kunming,7568.68087
Kunyu,65.30991953
Changji,1132.0096
Changjiang,219.1742813
Changdu,35.03343445
Zhaotong,693.7019451
Jinzhong,878.6756558
Jincheng,694.9396143
Pu'er,510.3216425
Jingdezhen,404.7459268
Qujing,1286.09854
Shuozhou,875.5723667
Chaoyang,527.6902112
Benxi,122.285691
Laibin,441.7560373
Hangzhou,2146.790246
Songyuan,279.9904364
Linzhi,88.04185091
Guoluo,24.33657981
Zaozhuang,858.6700941
Liuzhou,1503.925189
Zhuzhou,955.4611642
Guilin,1432.745724
Meizhou,848.6951804
Wuzhou,645.7252352
Chuxiong,752.2438848
Yulin,1378.445344
