City,OGHG emissions
Zhaoqing,1575.550664
Huyanghe,286.3840594
Zigong,917.9845477
Zhoushan,397.4753518
Wuhu,957.8003068
Suzhou,10701.61941
Maoming,2203.151934
Jingzhou,980.1624309
Jingmen,569.7084253
Putian,1867.577906
Heze,2004.25896
Pingxiang,399.9887836
Yingkou,627.8267249
Huludao,625.6463695
Bengbu,658.0203352
Hengshui,872.796091
Hengyang,1745.112551
Quzhou,298.6461087
Xiangyang,1119.905397
Xishuangbanna,1484.593595
Xining,2478.921113
Xi'an,6227.071873
Xuchang,1646.395771
Guigang,1134.754538
Guiyang,5013.916835
Hezhou,681.4496548
Ziyang,650.6782567
Ganzhou,4545.54307
Chifeng,1081.039353
Liaoyuan,270.4676773
Liaoyang,311.0325131
Dazhou,1521.80488
Yuncheng,836.7952597
Lianyungang,1701.627284
Diqing,218.4741873
Tonghua,503.2825629
Tongliao,604.7293815
Suining,836.1158032
Zunyi,1842.930325
Xingtai,1534.515483
Naqu,0.020198601
Handan,2162.575178
Shaoyang,1842.57689
Zhengzhou,12917.49646
Chenzhou,1391.819279
Ordos,2784.618496
Ezhou,242.6545755
Jiuquan,1480.094834
Chongqing,18919.87143
Jinhua,1005.402296
Jinchang,354.5825796
Qinzhou,1027.050357
Tieling,388.4341874
Tiemenguan,261.5184292
Tongren,888.9039252
Tongchuan,142.4568526
Tongling,315.1436918
Yinchuan,3610.590404
Xilin Gol,492.4960973
Jinzhou,658.0325041
Zhenjiang,1008.866701
Changchun,4965.254633
Changsha,5229.251862
Changzhi,826.8595384
Fuxin,367.5615632
Fuyang,2086.196736
Fangchenggang,910.065198
Yangjiang,1147.446328
Yangquan,476.077425
Aksu,4243.307735
Altai,1346.346251
Aba,102.4651903
Alxa,372.0232858
Alaer,1375.495705
Ali,870.5296416
Longnan,350.3071442
Lingshui,929.2038379
Suizhou,455.4516299
Ya'an,548.7183184
Qingdao,8007.211587
Anshan,2119.701588
Shaoguan,1234.637049
Ma'anshan,575.6098371
Zhumadian,939.6887345
Jixi,568.086396
Hebi,616.8776554
Hegang,449.3601047
Yingtan,302.6015938
Huanggang,1160.186294
Huangnan,60.60819489
Huangshan,307.8301925
Huangshi,539.4257398
Heihe,542.1028166
Qiandongnan,1125.957677
Qiannan,1137.527086
Qianxinan,791.8204831
Qiqihar,1233.274233
Longyan,1425.898012
