City,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Chongzuo,190776,145283,156045,146931,157581,180089,144766,154670,178323,171378,216441,187252
Bazhong,357997,205577,190931,181267,191643,239812,208242,219792,239285,219645,268186,236005
Bayannur,120632,80091,89668,75152,79992,110552,79920,86140,105842,100891,132094,107766
Bayingolin,257861,262500,270818,245988,290602,350901,256936,281797,297994,313919,412869,308522
Changzhou,1299822,1115299,1198319,1138610,1260461,1690745,1173320,1224495,1445898,1452700,1946007,1507513
Changde,556867,316966,327021,326325,350608,461319,352071,362212,426896,407178,502611,399887
Pingliang,152943,94109,94643,91398,99026,131265,106982,113340,124960,116113,145445,118391
Pingdingshan,380804,243124,257865,248130,278382,392193,268522,292794,329134,310071,431009,322885
Guangyuan,323238,208528,192978,190265,204000,240266,227585,230370,234081,235265,266127,241313
Guang'an,416496,235167,227165,225651,239383,313872,243519,262743,299966,285856,368566,310138
Guangzhou,6660434,5932284,6560566,6369791,6822263,8379048,6068605,6334888,7255603,7056791,9132694,7480980
Qingyang,154681,102723,106322,101894,109828,142182,114058,121607,139020,127081,164440,129927
Langfang,2410007,1876413,2021755,1975452,2102921,2645555,2043291,2190739,2495167,2436650,3057026,2496391
Yan'an,236158,165821,185449,168078,187900,238624,196549,213618,226563,217183,273226,226480
Yanbian,124610,103876,116508,108372,122199,165243,122934,132560,146286,144645,182947,134790
Kaifeng,405989,288842,302183,292250,326877,424273,307928,348034,406075,392132,501089,382668
Zhangjiakou,729846,397545,412991,385180,426411,585753,455639,490644,541018,494509,639335,494460
Zhangjiajie,118533,80284,83428,79474,88053,110550,89944,93750,106678,101750,128889,105564
Zhangye,68607,50513,53999,52012,55797,70046,56157,59731,65490,66612,89653,70544
Xuzhou,1705239,1204367,1339268,1339306,1345306,1846930,1319787,1471798,1689513,1638853,2161428,1680504
Dehong,44461,42163,46930,44128,45914,59797,44188,46687,51586,46789,64915,51860
Dezhou,686564,419500,455518,431015,461627,572984,430612,477586,556322,491442,613801,489992
Deyang,671800,487554,515686,515419,554279,686553,579438,592960,647461,629097,766008,707115
Xinzhou,286371,168097,175901,162084,180101,253218,205921,235558,253191,253115,326058,244792
Huaihua,307726,195594,196754,186445,204162,266476,203241,214239,243992,233300,314215,246841
Nujiang,15041,12351,13118,12816,13027,15796,13315,13848,15142,14070,17160,15002
Enshi,240532,159562,155441,145772,163729,226269,239111,228889,211574,192999,234645,192129
Huizhou,1478662,1159844,1312237,1253114,1338366,1804781,1270777,1359287,1532457,1409870,1930799,1532719
Chengdu,2757156,2340617,2457882,2134275,2136277,2725101,2135012,2089302,2173429,2068044,2746469,2218377
Yangzhou,861803,595900,632721,601912,674892,916980,630604,670462,792062,805969,1096396,834560
Chengde,718538,417827,459168,446191,491366,646181,485675,533328,579354,550665,667381,548160
Fuzhou,380689,211478,220143,205532,229390,317626,217656,239431,299439,293659,383359,303293
Fushun,465773,289711,328378,310148,336373,455360,344069,378855,421202,402265,513841,401568
Lhasa,114563,178011,232522,208430,204926,257807,164594,155531,165007,177990,218759,145699
Jieyang,966728,513197,588580,576905,614117,976038,579910,673774,832068,803883,1111511,797548
Panzhihua,109496,76221,79397,75646,73748,96544,76293,82446,92991,90745,123416,98437
Wenshan,90006,66225,67566,61757,67824,88211,66071,70659,82792,73184,90904,76071
Wenchang,152878,79009,76477,68576,68264,83941,73319,74778,81312,81912,112079,123908
Xinxiang,542581,382804,404999,390441,422907,569455,402094,450016,488652,488371,642201,486025
Xinyu,88699,58782,59963,52293,57652,86535,53872,58278,74985,75145,106891,81049
Wuxi,2377926,2017309,2194369,2075413,2286638,3133998,2158631,2306034,2658815,2675729,3559182,2768272
Shigatse,12558,22565,23026,18741,18162,19147,23853,36735,36824,38434,41403,34461
Rizhao,511888,329988,361540,346038,390754,542514,389635,422284,469421,467700,599549,462496
Kunming,754987,626797,609253,591604,611615,884084,605653,646688,704775,665779,932508,662609
Kunyu,3558,4674,4905,4254,4454,5288,3753,4345,4781,5046,6627,4932
Changji,320734,310213,335356,306098,320984,388113,310526,321888,350408,358672,452902,365039
Changjiang,41046,27206,27140,28709,27474,34367,28450,35010,37600,30492,47670,37105
Changdu,7671,14143,22348,17101,15605,20186,30680,48967,57425,61845,73872,55029
Zhaotong,135496,101343,102792,99167,103381,141786,109036,118032,126400,118278,151159,123978
Jinzhong,315138,193235,210157,196100,215074,292755,231845,267833,308925,323723,394617,302166
Jincheng,164370,109040,116584,111022,119287,167943,127418,131414,148908,147857,198436,142291
Pu'er,66338,50429,54006,51469,54084,71981,50670,54656,63974,56159,73000,62623
Jingdezhen,149700,112186,127008,124065,136912,173581,117032,125602,160919,166014,207579,153117
Qujing,272695,176296,184427,176844,186734,253183,192476,205124,223505,210580,260657,220261
Shuozhou,192454,114198,118840,112709,121263,171299,122906,135918,162513,151394,199309,137792
Chaoyang,316907,173800,189974,178704,198197,272289,206308,226174,255820,241920,296063,236292
