City,Net GHG Transfer
Shijiazhuang,2025.161821
Shihezi,485.2661194
Shennongjia,29.07575694
Fuzhou,3671.684067
Qinhuangdao,423.0730544
Honghe,1037.46555
Shaoxing,-730.6078503
Suihua,364.988012
Mianyang,211.4102782
Liaocheng,-728.7272078
Zhaoqing,-1876.830669
Huyanghe,47.46909285
Zigong,-541.9847667
Zhoushan,252.3312678
Wuhu,195.6573365
Suzhou,-6592.169576
Maoming,-1312.14448
Jingzhou,80.52337964
Jingmen,115.6901482
Putian,951.5437729
Heze,1081.599572
Pingxiang,282.8485233
Yingkou,-84.58159888
Huludao,-671.4937172
Bengbu,83.5836326
Hengshui,-35.76530466
Hengyang,-279.1479129
Quzhou,-464.4525691
Xiangyang,44.99758216
Xishuangbanna,943.4100251
Xining,1546.097667
Xi'an,-843.793524
Xuchang,-476.1410896
Guigang,239.6694621
Guiyang,2321.521083
Hezhou,-156.8116989
Ziyang,-1688.185258
Ganzhou,2405.170348
Chifeng,524.6287645
Liaoyuan,116.3900784
Liaoyang,-348.5522771
Dazhou,528.1727303
Yuncheng,234.7612004
Lianyungang,1266.875515
Diqing,141.6108358
Tonghua,187.4287858
Tongliao,100.4219091
Suining,-230.4918572
Zunyi,645.6540472
Xingtai,-609.2143818
Naqu,-30.64180611
Handan,738.0964384
Shaoyang,1239.743789
Zhengzhou,6785.113968
Chenzhou,517.9362079
Ordos,1906.216282
Ezhou,-753.1736454
Jiuquan,-260.2818116
Chongqing,4092.80344
Jinhua,-515.6347432
Jinchang,105.7683986
Qinzhou,214.8299594
Tieling,-2749.932316
Tiemenguan,63.26379675
Tongren,462.3481726
Tongchuan,-74.43485206
Tongling,122.7198871
Yinchuan,2226.938575
Xilin Gol,240.5890165
Jinzhou,-314.6435628
Zhenjiang,-2944.713641
Changchun,-1570.938881
Changsha,1719.257319
Changzhi,285.3266819
Fuxin,-95.55821102
Fuyang,1137.168455
Fangchenggang,650.6156372
Yangjiang,-1455.213147
Yangquan,321.9734509
Aksu,38.4369022
Altai,296.5014336
Aba,8.951141666
Alxa,125.8454835
Alaer,259.625496
Ali,36.91608829
Longnan,-69.6253617
Lingshui,519.2079378
Suizhou,-925.5698419
Ya'an,-718.2453082
Qingdao,2888.455096
Anshan,-95.48293845
Shaoguan,323.2342796
Ma'anshan,-829.0050251
Zhumadian,-5156.621229
Jixi,365.7704026
Hebi,-95.85130585
Hegang,299.7536553
Yingtan,148.4618574
Huanggang,-790.5413645
Huangnan,41.85825993
Huangshan,220.5309117
Huangshi,-1379.793239
Heihe,293.7142267
Qiandongnan,273.8855081
Qiannan,17.87703963
Qianxinan,488.8373099
Qiqihar,321.8352524
Longyan,375.8100776
